ContentsCode_kode,År_kode,Geografi_kode,Aldersgrupper_kode,Måltall_kode,ContentsCode_navn,År_navn,Geografi_navn,Aldersgrupper_navn,Måltall_navn,verdi
EliminatedValue,0,100000,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,Alder i alt,Personer,559350
EliminatedValue,0,100000,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,0 år,Personer,9068
EliminatedValue,0,100000,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,1-2 år,Personer,16192
EliminatedValue,0,100000,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,3-5 år,Personer,20278
EliminatedValue,0,100000,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,6-9 år,Personer,22999
EliminatedValue,0,100000,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,10-12 år,Personer,16404
EliminatedValue,0,100000,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,13-15 år,Personer,15749
EliminatedValue,0,100000,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,16-17 år,Personer,10844
EliminatedValue,0,100000,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,18-19 år,Personer,11198
EliminatedValue,0,100000,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,20-22 år,Personer,19980
EliminatedValue,0,100000,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,23-24 år,Personer,16474
EliminatedValue,0,100000,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,25-29 år,Personer,57602
EliminatedValue,0,100000,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,30-39 år,Personer,107663
EliminatedValue,0,100000,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,40-49 år,Personer,77291
EliminatedValue,0,100000,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,50-66 år,Personer,97581
EliminatedValue,0,100000,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,67-74 år,Personer,23289
EliminatedValue,0,100000,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,75-79 år,Personer,13055
EliminatedValue,0,100000,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,80-84 år,Personer,11349
EliminatedValue,0,100000,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,85-89 år,Personer,8191
EliminatedValue,0,100000,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Oslo i alt,90 år +,Personer,4143
EliminatedValue,0,1,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,Alder i alt,Personer,39479
EliminatedValue,0,1,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,0 år,Personer,856
EliminatedValue,0,1,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,1-2 år,Personer,1332
EliminatedValue,0,1,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,3-5 år,Personer,1457
EliminatedValue,0,1,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,6-9 år,Personer,1313
EliminatedValue,0,1,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,10-12 år,Personer,791
EliminatedValue,0,1,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,13-15 år,Personer,754
EliminatedValue,0,1,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,16-17 år,Personer,464
EliminatedValue,0,1,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,18-19 år,Personer,563
EliminatedValue,0,1,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,20-22 år,Personer,1391
EliminatedValue,0,1,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,23-24 år,Personer,1350
EliminatedValue,0,1,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,25-29 år,Personer,6198
EliminatedValue,0,1,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,30-39 år,Personer,10631
EliminatedValue,0,1,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,40-49 år,Personer,5027
EliminatedValue,0,1,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,50-66 år,Personer,5186
EliminatedValue,0,1,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,67-74 år,Personer,871
EliminatedValue,0,1,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,75-79 år,Personer,383
EliminatedValue,0,1,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,80-84 år,Personer,384
EliminatedValue,0,1,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,85-89 år,Personer,330
EliminatedValue,0,1,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Gamle Oslo,90 år +,Personer,198
EliminatedValue,0,2,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,Alder i alt,Personer,42007
EliminatedValue,0,2,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,0 år,Personer,800
EliminatedValue,0,2,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,1-2 år,Personer,1145
EliminatedValue,0,2,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,3-5 år,Personer,1129
EliminatedValue,0,2,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,6-9 år,Personer,979
EliminatedValue,0,2,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,10-12 år,Personer,661
EliminatedValue,0,2,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,13-15 år,Personer,607
EliminatedValue,0,2,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,16-17 år,Personer,390
EliminatedValue,0,2,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,18-19 år,Personer,569
EliminatedValue,0,2,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,20-22 år,Personer,1687
EliminatedValue,0,2,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,23-24 år,Personer,1856
EliminatedValue,0,2,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,25-29 år,Personer,7768
EliminatedValue,0,2,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,30-39 år,Personer,11824
EliminatedValue,0,2,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,40-49 år,Personer,5128
EliminatedValue,0,2,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,50-66 år,Personer,5038
EliminatedValue,0,2,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,67-74 år,Personer,847
EliminatedValue,0,2,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,75-79 år,Personer,460
EliminatedValue,0,2,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,80-84 år,Personer,399
EliminatedValue,0,2,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,85-89 år,Personer,438
EliminatedValue,0,2,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Grünerløkka,90 år +,Personer,282
EliminatedValue,0,3,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,Alder i alt,Personer,32438
EliminatedValue,0,3,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,0 år,Personer,673
EliminatedValue,0,3,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,1-2 år,Personer,977
EliminatedValue,0,3,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,3-5 år,Personer,832
EliminatedValue,0,3,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,6-9 år,Personer,642
EliminatedValue,0,3,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,10-12 år,Personer,385
EliminatedValue,0,3,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,13-15 år,Personer,378
EliminatedValue,0,3,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,16-17 år,Personer,255
EliminatedValue,0,3,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,18-19 år,Personer,341
EliminatedValue,0,3,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,20-22 år,Personer,1080
EliminatedValue,0,3,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,23-24 år,Personer,1300
EliminatedValue,0,3,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,25-29 år,Personer,5850
EliminatedValue,0,3,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,30-39 år,Personer,9192
EliminatedValue,0,3,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,40-49 år,Personer,3799
EliminatedValue,0,3,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,50-66 år,Personer,4266
EliminatedValue,0,3,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,67-74 år,Personer,876
EliminatedValue,0,3,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,75-79 år,Personer,459
EliminatedValue,0,3,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,80-84 år,Personer,449
EliminatedValue,0,3,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,85-89 år,Personer,419
EliminatedValue,0,3,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Sagene,90 år +,Personer,265
EliminatedValue,0,4,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,Alder i alt,Personer,31016
EliminatedValue,0,4,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,0 år,Personer,509
EliminatedValue,0,4,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,1-2 år,Personer,691
EliminatedValue,0,4,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,3-5 år,Personer,637
EliminatedValue,0,4,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,6-9 år,Personer,586
EliminatedValue,0,4,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,10-12 år,Personer,390
EliminatedValue,0,4,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,13-15 år,Personer,306
EliminatedValue,0,4,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,16-17 år,Personer,239
EliminatedValue,0,4,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,18-19 år,Personer,314
EliminatedValue,0,4,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,20-22 år,Personer,1585
EliminatedValue,0,4,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,23-24 år,Personer,1649
EliminatedValue,0,4,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,25-29 år,Personer,6188
EliminatedValue,0,4,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,30-39 år,Personer,8161
EliminatedValue,0,4,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,40-49 år,Personer,3504
EliminatedValue,0,4,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,50-66 år,Personer,4029
EliminatedValue,0,4,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,67-74 år,Personer,866
EliminatedValue,0,4,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,75-79 år,Personer,402
EliminatedValue,0,4,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,80-84 år,Personer,385
EliminatedValue,0,4,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,85-89 år,Personer,334
EliminatedValue,0,4,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel St.Hanshaugen,90 år +,Personer,241
EliminatedValue,0,5,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,Alder i alt,Personer,47694
EliminatedValue,0,5,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,0 år,Personer,634
