ContentsCode_kode,år_kode,bosted_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,301,0,0,0,ok-sos006,2004,Oslo i alt,I alt,I alt,antall personer,26583
EliminatedValue,0,301,0,1,0,ok-sos006,2004,Oslo i alt,I alt,18-29,antall personer,587
EliminatedValue,0,301,0,2,0,ok-sos006,2004,Oslo i alt,I alt,30-39,antall personer,2121
EliminatedValue,0,301,0,3,0,ok-sos006,2004,Oslo i alt,I alt,40-49,antall personer,5186
EliminatedValue,0,301,0,4,0,ok-sos006,2004,Oslo i alt,I alt,50-59,antall personer,9978
EliminatedValue,0,301,0,5,0,ok-sos006,2004,Oslo i alt,I alt,60-67,antall personer,8711
EliminatedValue,0,301,1,0,0,ok-sos006,2004,Oslo i alt,Kvinner,I alt,antall personer,14933
EliminatedValue,0,301,1,1,0,ok-sos006,2004,Oslo i alt,Kvinner,18-29,antall personer,263
EliminatedValue,0,301,1,2,0,ok-sos006,2004,Oslo i alt,Kvinner,30-39,antall personer,1059
EliminatedValue,0,301,1,3,0,ok-sos006,2004,Oslo i alt,Kvinner,40-49,antall personer,2821
EliminatedValue,0,301,1,4,0,ok-sos006,2004,Oslo i alt,Kvinner,50-59,antall personer,5832
EliminatedValue,0,301,1,5,0,ok-sos006,2004,Oslo i alt,Kvinner,60-67,antall personer,4958
EliminatedValue,0,301,2,0,0,ok-sos006,2004,Oslo i alt,Menn,I alt,antall personer,11650
EliminatedValue,0,301,2,1,0,ok-sos006,2004,Oslo i alt,Menn,18-29,antall personer,324
EliminatedValue,0,301,2,2,0,ok-sos006,2004,Oslo i alt,Menn,30-39,antall personer,1062
EliminatedValue,0,301,2,3,0,ok-sos006,2004,Oslo i alt,Menn,40-49,antall personer,2365
EliminatedValue,0,301,2,4,0,ok-sos006,2004,Oslo i alt,Menn,50-59,antall personer,4146
EliminatedValue,0,301,2,5,0,ok-sos006,2004,Oslo i alt,Menn,60-67,antall personer,3753
EliminatedValue,0,30101,0,0,0,ok-sos006,2004,Gamle Oslo,I alt,I alt,antall personer,2076
EliminatedValue,0,30101,0,1,0,ok-sos006,2004,Gamle Oslo,I alt,18-29,antall personer,44
EliminatedValue,0,30101,0,2,0,ok-sos006,2004,Gamle Oslo,I alt,30-39,antall personer,219
EliminatedValue,0,30101,0,3,0,ok-sos006,2004,Gamle Oslo,I alt,40-49,antall personer,499
EliminatedValue,0,30101,0,4,0,ok-sos006,2004,Gamle Oslo,I alt,50-59,antall personer,775
EliminatedValue,0,30101,0,5,0,ok-sos006,2004,Gamle Oslo,I alt,60-67,antall personer,539
EliminatedValue,0,30101,1,0,0,ok-sos006,2004,Gamle Oslo,Kvinner,I alt,antall personer,985
EliminatedValue,0,30101,1,1,0,ok-sos006,2004,Gamle Oslo,Kvinner,18-29,antall personer,23
EliminatedValue,0,30101,1,2,0,ok-sos006,2004,Gamle Oslo,Kvinner,30-39,antall personer,101
EliminatedValue,0,30101,1,3,0,ok-sos006,2004,Gamle Oslo,Kvinner,40-49,antall personer,236
EliminatedValue,0,30101,1,4,0,ok-sos006,2004,Gamle Oslo,Kvinner,50-59,antall personer,381
EliminatedValue,0,30101,1,5,0,ok-sos006,2004,Gamle Oslo,Kvinner,60-67,antall personer,244
EliminatedValue,0,30101,2,0,0,ok-sos006,2004,Gamle Oslo,Menn,I alt,antall personer,1091
EliminatedValue,0,30101,2,1,0,ok-sos006,2004,Gamle Oslo,Menn,18-29,antall personer,21
EliminatedValue,0,30101,2,2,0,ok-sos006,2004,Gamle Oslo,Menn,30-39,antall personer,118
EliminatedValue,0,30101,2,3,0,ok-sos006,2004,Gamle Oslo,Menn,40-49,antall personer,263
EliminatedValue,0,30101,2,4,0,ok-sos006,2004,Gamle Oslo,Menn,50-59,antall personer,394
EliminatedValue,0,30101,2,5,0,ok-sos006,2004,Gamle Oslo,Menn,60-67,antall personer,295
EliminatedValue,0,30102,0,0,0,ok-sos006,2004,Grünerløkka,I alt,I alt,antall personer,2078
EliminatedValue,0,30102,0,1,0,ok-sos006,2004,Grünerløkka,I alt,18-29,antall personer,38
EliminatedValue,0,30102,0,2,0,ok-sos006,2004,Grünerløkka,I alt,30-39,antall personer,198
EliminatedValue,0,30102,0,3,0,ok-sos006,2004,Grünerløkka,I alt,40-49,antall personer,513
EliminatedValue,0,30102,0,4,0,ok-sos006,2004,Grünerløkka,I alt,50-59,antall personer,761
EliminatedValue,0,30102,0,5,0,ok-sos006,2004,Grünerløkka,I alt,60-67,antall personer,568
EliminatedValue,0,30102,1,0,0,ok-sos006,2004,Grünerløkka,Kvinner,I alt,antall personer,965
EliminatedValue,0,30102,1,1,0,ok-sos006,2004,Grünerløkka,Kvinner,18-29,antall personer,19
EliminatedValue,0,30102,1,2,0,ok-sos006,2004,Grünerløkka,Kvinner,30-39,antall personer,84
EliminatedValue,0,30102,1,3,0,ok-sos006,2004,Grünerløkka,Kvinner,40-49,antall personer,238
EliminatedValue,0,30102,1,4,0,ok-sos006,2004,Grünerløkka,Kvinner,50-59,antall personer,380
EliminatedValue,0,30102,1,5,0,ok-sos006,2004,Grünerløkka,Kvinner,60-67,antall personer,244
EliminatedValue,0,30102,2,0,0,ok-sos006,2004,Grünerløkka,Menn,I alt,antall personer,1113
EliminatedValue,0,30102,2,1,0,ok-sos006,2004,Grünerløkka,Menn,18-29,antall personer,19
EliminatedValue,0,30102,2,2,0,ok-sos006,2004,Grünerløkka,Menn,30-39,antall personer,114
EliminatedValue,0,30102,2,3,0,ok-sos006,2004,Grünerløkka,Menn,40-49,antall personer,275
EliminatedValue,0,30102,2,4,0,ok-sos006,2004,Grünerløkka,Menn,50-59,antall personer,381
EliminatedValue,0,30102,2,5,0,ok-sos006,2004,Grünerløkka,Menn,60-67,antall personer,324
EliminatedValue,0,30103,0,0,0,ok-sos006,2004,Sagene,I alt,I alt,antall personer,1939
EliminatedValue,0,30103,0,1,0,ok-sos006,2004,Sagene,I alt,18-29,antall personer,27
EliminatedValue,0,30103,0,2,0,ok-sos006,2004,Sagene,I alt,30-39,antall personer,166
EliminatedValue,0,30103,0,3,0,ok-sos006,2004,Sagene,I alt,40-49,antall personer,441
EliminatedValue,0,30103,0,4,0,ok-sos006,2004,Sagene,I alt,50-59,antall personer,753
EliminatedValue,0,30103,0,5,0,ok-sos006,2004,Sagene,I alt,60-67,antall personer,552
EliminatedValue,0,30103,1,0,0,ok-sos006,2004,Sagene,Kvinner,I alt,antall personer,904
