ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,0,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Oslo i alt,Sosialhjelpsmottakere i alt,Antall,18788
EliminatedValue,0,0,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Oslo i alt,Berørte av sosialhjelp,Antall,32078
EliminatedValue,0,0,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Oslo i alt,Berørte ektefeller/samboere,Antall,4157
EliminatedValue,0,0,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Oslo i alt,Berørte barn i alt,Antall,9133
EliminatedValue,0,0,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Oslo i alt,Barn av par,Antall,5024
EliminatedValue,0,0,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Oslo i alt,Barn av enslig forsørger,Antall,4109
EliminatedValue,0,1,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Sum bydeler,Sosialhjelpsmottakere i alt,Antall,20114
EliminatedValue,0,1,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Sum bydeler,Berørte av sosialhjelp,Antall,34265
EliminatedValue,0,1,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Sum bydeler,Berørte ektefeller/samboere,Antall,4448
EliminatedValue,0,1,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Sum bydeler,Berørte barn i alt,Antall,9703
EliminatedValue,0,1,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Sum bydeler,Barn av par,Antall,5364
EliminatedValue,0,1,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Sum bydeler,Barn av enslig forsørger,Antall,4339
EliminatedValue,0,2,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Gamle Oslo,Sosialhjelpsmottakere i alt,Antall,2795
