Region_kode,ContentsCode_kode,Tid_kode,Region_navn,ContentsCode_navn,Tid_navn,verdi
0301,Folketallet1,1997K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1997K4,499496
0301,Folketallet1,1998K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1998K1,499693
0301,Folketallet1,1998K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1998K2,501434
0301,Folketallet1,1998K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1998K3,502113
0301,Folketallet1,1998K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1998K4,502535
0301,Folketallet1,1999K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1999K1,502867
0301,Folketallet1,1999K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1999K2,504291
0301,Folketallet1,1999K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1999K3,505400
0301,Folketallet1,1999K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,1999K4,506825
0301,Folketallet1,2000K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2000K1,507467
0301,Folketallet1,2000K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2000K2,508820
0301,Folketallet1,2000K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2000K3,508826
0301,Folketallet1,2000K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2000K4,509029
0301,Folketallet1,2001K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2001K1,508726
0301,Folketallet1,2001K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2001K2,510873
0301,Folketallet1,2001K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2001K3,511790
0301,Folketallet1,2001K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2001K4,512932
0301,Folketallet1,2002K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2002K1,512589
0301,Folketallet1,2002K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2002K2,514541
0301,Folketallet1,2002K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2002K3,515425
0301,Folketallet1,2002K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2002K4,516467
0301,Folketallet1,2003K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2003K1,517401
0301,Folketallet1,2003K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2003K2,518902
0301,Folketallet1,2003K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2003K3,519553
0301,Folketallet1,2003K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2003K4,521193
0301,Folketallet1,2004K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2004K1,521886
0301,Folketallet1,2004K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2004K2,523488
0301,Folketallet1,2004K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2004K3,524888
0301,Folketallet1,2004K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2004K4,527378
0301,Folketallet1,2005K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2005K1,529846
0301,Folketallet1,2005K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2005K2,531410
0301,Folketallet1,2005K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2005K3,533050
0301,Folketallet1,2005K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2005K4,536209
0301,Folketallet1,2006K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2006K1,538411
0301,Folketallet1,2006K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2006K2,541822
