Konsumgrp_kode,ContentsCode_kode,Tid_kode,Konsumgrp_navn,ContentsCode_navn,Tid_navn,verdi
TOTAL,KpiIndMnd,1979M01,Totalindeks,Konsumprisindeks (2015=100),1979M01,25.3
TOTAL,KpiIndMnd,1979M02,Totalindeks,Konsumprisindeks (2015=100),1979M02,25.4
TOTAL,KpiIndMnd,1979M03,Totalindeks,Konsumprisindeks (2015=100),1979M03,25.5
TOTAL,KpiIndMnd,1979M04,Totalindeks,Konsumprisindeks (2015=100),1979M04,25.6
TOTAL,KpiIndMnd,1979M05,Totalindeks,Konsumprisindeks (2015=100),1979M05,25.7
TOTAL,KpiIndMnd,1979M06,Totalindeks,Konsumprisindeks (2015=100),1979M06,25.8
TOTAL,KpiIndMnd,1979M07,Totalindeks,Konsumprisindeks (2015=100),1979M07,26
TOTAL,KpiIndMnd,1979M08,Totalindeks,Konsumprisindeks (2015=100),1979M08,26
TOTAL,KpiIndMnd,1979M09,Totalindeks,Konsumprisindeks (2015=100),1979M09,26.1
TOTAL,KpiIndMnd,1979M10,Totalindeks,Konsumprisindeks (2015=100),1979M10,26.3
TOTAL,KpiIndMnd,1979M11,Totalindeks,Konsumprisindeks (2015=100),1979M11,26.5
TOTAL,KpiIndMnd,1979M12,Totalindeks,Konsumprisindeks (2015=100),1979M12,26.5
TOTAL,KpiIndMnd,1980M01,Totalindeks,Konsumprisindeks (2015=100),1980M01,26.9
TOTAL,KpiIndMnd,1980M02,Totalindeks,Konsumprisindeks (2015=100),1980M02,27.4
TOTAL,KpiIndMnd,1980M03,Totalindeks,Konsumprisindeks (2015=100),1980M03,27.8
TOTAL,KpiIndMnd,1980M04,Totalindeks,Konsumprisindeks (2015=100),1980M04,28
TOTAL,KpiIndMnd,1980M05,Totalindeks,Konsumprisindeks (2015=100),1980M05,28.3
TOTAL,KpiIndMnd,1980M06,Totalindeks,Konsumprisindeks (2015=100),1980M06,28.7
TOTAL,KpiIndMnd,1980M07,Totalindeks,Konsumprisindeks (2015=100),1980M07,29
TOTAL,KpiIndMnd,1980M08,Totalindeks,Konsumprisindeks (2015=100),1980M08,29.2
TOTAL,KpiIndMnd,1980M09,Totalindeks,Konsumprisindeks (2015=100),1980M09,29.5
TOTAL,KpiIndMnd,1980M10,Totalindeks,Konsumprisindeks (2015=100),1980M10,29.7
TOTAL,KpiIndMnd,1980M11,Totalindeks,Konsumprisindeks (2015=100),1980M11,29.9
TOTAL,KpiIndMnd,1980M12,Totalindeks,Konsumprisindeks (2015=100),1980M12,30.1
TOTAL,KpiIndMnd,1981M01,Totalindeks,Konsumprisindeks (2015=100),1981M01,31
TOTAL,KpiIndMnd,1981M02,Totalindeks,Konsumprisindeks (2015=100),1981M02,31.3
TOTAL,KpiIndMnd,1981M03,Totalindeks,Konsumprisindeks (2015=100),1981M03,31.9
TOTAL,KpiIndMnd,1981M04,Totalindeks,Konsumprisindeks (2015=100),1981M04,32.1
TOTAL,KpiIndMnd,1981M05,Totalindeks,Konsumprisindeks (2015=100),1981M05,32.2
TOTAL,KpiIndMnd,1981M06,Totalindeks,Konsumprisindeks (2015=100),1981M06,32.6
TOTAL,KpiIndMnd,1981M07,Totalindeks,Konsumprisindeks (2015=100),1981M07,33.1
TOTAL,KpiIndMnd,1981M08,Totalindeks,Konsumprisindeks (2015=100),1981M08,33.1
TOTAL,KpiIndMnd,1981M09,Totalindeks,Konsumprisindeks (2015=100),1981M09,33.4
TOTAL,KpiIndMnd,1981M10,Totalindeks,Konsumprisindeks (2015=100),1981M10,33.5
TOTAL,KpiIndMnd,1981M11,Totalindeks,Konsumprisindeks (2015=100),1981M11,33.6
TOTAL,KpiIndMnd,1981M12,Totalindeks,Konsumprisindeks (2015=100),1981M12,33.7
TOTAL,KpiIndMnd,1982M01,Totalindeks,Konsumprisindeks (2015=100),1982M01,34.8
TOTAL,KpiIndMnd,1982M02,Totalindeks,Konsumprisindeks (2015=100),1982M02,35
TOTAL,KpiIndMnd,1982M03,Totalindeks,Konsumprisindeks (2015=100),1982M03,35.6
TOTAL,KpiIndMnd,1982M04,Totalindeks,Konsumprisindeks (2015=100),1982M04,35.7
TOTAL,KpiIndMnd,1982M05,Totalindeks,Konsumprisindeks (2015=100),1982M05,35.8
TOTAL,KpiIndMnd,1982M06,Totalindeks,Konsumprisindeks (2015=100),1982M06,36.1
TOTAL,KpiIndMnd,1982M07,Totalindeks,Konsumprisindeks (2015=100),1982M07,36.7
TOTAL,KpiIndMnd,1982M08,Totalindeks,Konsumprisindeks (2015=100),1982M08,36.7
TOTAL,KpiIndMnd,1982M09,Totalindeks,Konsumprisindeks (2015=100),1982M09,37
TOTAL,KpiIndMnd,1982M10,Totalindeks,Konsumprisindeks (2015=100),1982M10,37.3
TOTAL,KpiIndMnd,1982M11,Totalindeks,Konsumprisindeks (2015=100),1982M11,37.5
TOTAL,KpiIndMnd,1982M12,Totalindeks,Konsumprisindeks (2015=100),1982M12,37.7
TOTAL,KpiIndMnd,1983M01,Totalindeks,Konsumprisindeks (2015=100),1983M01,38.3
TOTAL,KpiIndMnd,1983M02,Totalindeks,Konsumprisindeks (2015=100),1983M02,38.5
TOTAL,KpiIndMnd,1983M03,Totalindeks,Konsumprisindeks (2015=100),1983M03,38.9
TOTAL,KpiIndMnd,1983M04,Totalindeks,Konsumprisindeks (2015=100),1983M04,39
TOTAL,KpiIndMnd,1983M05,Totalindeks,Konsumprisindeks (2015=100),1983M05,39.1
TOTAL,KpiIndMnd,1983M06,Totalindeks,Konsumprisindeks (2015=100),1983M06,39.3
TOTAL,KpiIndMnd,1983M07,Totalindeks,Konsumprisindeks (2015=100),1983M07,39.6
TOTAL,KpiIndMnd,1983M08,Totalindeks,Konsumprisindeks (2015=100),1983M08,39.5
TOTAL,KpiIndMnd,1983M09,Totalindeks,Konsumprisindeks (2015=100),1983M09,39.9
TOTAL,KpiIndMnd,1983M10,Totalindeks,Konsumprisindeks (2015=100),1983M10,40.1
