Soner2_kode,AntRom_kode,ContentsCode_kode,Tid_kode,Soner2_navn,AntRom_navn,ContentsCode_navn,Tid_navn,verdi
00,1,Husleie,2012,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2012,5300
00,1,Husleie,2013,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2013,5850
00,1,Husleie,2014,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2014,5850
00,1,Husleie,2015,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2015,6290
00,1,Husleie,2016,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2016,6830
00,1,Husleie,2017,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2017,7150
00,1,Husleie,2018,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2018,7570
00,1,Husleie,2019,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2019,7890
00,1,Husleie,2020,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2020,7320
00,1,Husleie,2021,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2021,7690
00,1,Husleie,2022,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2022,8050
00,1,Husleie,2023,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2023,8760
00,1,Husleie,2024,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2024,8400
00,1,Husleie,2025,Hele landet,1 rom,Gjennomsnittlig månedlig leie,2025,8770
00,1,Husleiear,2012,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2012,2310
00,1,Husleiear,2013,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2013,2510
00,1,Husleiear,2014,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2014,2610
00,1,Husleiear,2015,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2015,2660
00,1,Husleiear,2016,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2016,2870
00,1,Husleiear,2017,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2017,2920
00,1,Husleiear,2018,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2018,3040
00,1,Husleiear,2019,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2019,3100
00,1,Husleiear,2020,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2020,3420
00,1,Husleiear,2021,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2021,3770
00,1,Husleiear,2022,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2022,3910
00,1,Husleiear,2023,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2023,4340
00,1,Husleiear,2024,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2024,4630
00,1,Husleiear,2025,Hele landet,1 rom,Gjennomsnittlig årlig leie per kvm,2025,4750
00,2,Husleie,2012,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2012,6310
00,2,Husleie,2013,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2013,6800
00,2,Husleie,2014,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2014,7040
00,2,Husleie,2015,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2015,7480
00,2,Husleie,2016,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2016,8130
00,2,Husleie,2017,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2017,8450
00,2,Husleie,2018,Hele landet,2 rom,Gjennomsnittlig månedlig leie,2018,8740
