utbetalingsaar,utbetalingsmaned,belop_husstand,tillegg_per_ekstra_medlem,geografi,merknad,kilde,verifisering
2021,3,2950,120,nasjonal,Engangsutbetaling med februar-terminen,Husbankens årsrapport 2021,bekreftet
2021,11,2950,120,Sør-Norge inkl. Oslo,"Kun Oslo, Viken, Innlandet, Vestfold og Telemark, Agder, Rogaland, Vestland + Røros",Husbankens årsrapport 2021,bekreftet
2021,12,1500,150,nasjonal,Til alle med rett til bostøtte i november,Husbankens årsrapport 2021,bekreftet
2022,1,1500,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,2,2500,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,3,2500,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,4,1000,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,5,1000,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,6,1000,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,7,0,0,nasjonal,Ingen utbetaling jul-okt,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,8,0,0,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,9,0,0,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,10,0,0,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,11,2000,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2022,12,2500,150,nasjonal,,Husbankens årsrapport 2022 tabell 3.11,bekreftet
2023,1,1500,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,2,1500,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,3,1500,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,4,1500,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,5,1500,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,6,0,0,nasjonal,Ingen utbetaling jun-okt,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,7,0,0,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,8,0,0,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,9,0,0,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,10,0,0,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,11,1000,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2023,12,1500,150,nasjonal,,Husbankens årsrapport 2023 tabell 3.8,bekreftet
2024,1,1500,150,nasjonal,Beløp ikke eksplisitt i årsrapport 2024 (totalt 569 mill. til ~132 200 husstander jan-apr); nivå antatt videreført fra des 2023 - bekreft i Prop. 1 S (2023-2024),Husbankens årsrapport 2024 (måneder) ,delvis
2024,2,1500,150,nasjonal,Se merknad jan 2024,Husbankens årsrapport 2024 (måneder),delvis
2024,3,1500,150,nasjonal,Se merknad jan 2024,Husbankens årsrapport 2024 (måneder),delvis
2024,4,1500,150,nasjonal,Siste strømstøtteutbetaling,Husbankens årsrapport 2024 (måneder),delvis
