brukergruppe,aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
Eldre,2010,1,0,29684,29690,6,0,,,,0,Norge
Eldre,2010,2,29684,30226,30226,0,52305196,1762.07,12192.35,5201.38,11809,Norge
Eldre,2010,3,30226,30623,30623,0,53313804,1763.84,12181.33,5206.56,12124,Norge
Eldre,2010,4,30623,31026,31026,0,54092835,1766.41,12171.76,5218.41,12429,Norge
Eldre,2010,5,31026,31056,31622,566,54864315,1768.33,12162.0,5226.64,12688,Norge
Eldre,2010,6,31056,30987,31504,517,54945459,1769.24,12154.21,5238.43,12806,Norge
Eldre,2010,7,30987,29667,31422,1755,54811933,1768.87,12141.89,5244.69,12828,Norge
Eldre,2010,8,29667,29639,30167,528,51093672,1722.24,12797.74,5280.83,12453,Norge
Eldre,2010,9,29639,29599,30167,568,51133604,1725.21,12787.96,5058.37,12545,Norge
Eldre,2010,10,29599,29463,30060,597,51143145,1727.87,12778.16,5073.66,12646,Norge
Eldre,2010,11,29463,29469,30023,554,50850545,1725.91,12793.83,5083.43,12693,Norge
Eldre,2010,12,29469,29430,29940,510,50875959,1726.42,12780.4,5089.29,12724,Norge
Eldre,2011,1,29430,29348,30179,831,50806817,1726.36,12777.53,5098.57,12766,Norge
Eldre,2011,2,29348,29474,30522,1048,50805424,1731.14,12761.65,5130.69,13023,Norge
Eldre,2011,3,29474,29428,30111,683,51013364,1730.79,12753.42,5144.41,13194,Norge
Eldre,2011,4,29428,29472,30061,589,51032501,1734.15,12741.0,5158.54,13285,Norge
Eldre,2011,5,29472,29403,29894,491,51157567,1735.8,12734.54,5170.0,13403,Norge
Eldre,2011,6,29403,29341,29790,449,51073675,1737.02,12726.05,5174.88,13448,Norge
Eldre,2011,7,29341,26867,29929,3062,51050674,1739.91,12720.06,5189.85,13516,Norge
Eldre,2011,8,26867,26807,27371,564,44443730,1654.21,13220.06,5254.64,12644,Norge
