virkningsdato,g_belop,g_snitt_kalenderaar,merknad,kilde
2010-05-01,75641,74721,,nav.no/grunnbelopet
2011-05-01,79216,78024,,nav.no/grunnbelopet
2012-05-01,82122,81153,,nav.no/grunnbelopet
2013-05-01,85245,84204,,nav.no/grunnbelopet
2014-05-01,88370,87328,,nav.no/grunnbelopet
2015-05-01,90068,89502,,nav.no/grunnbelopet
2016-05-01,92576,91740,,nav.no/grunnbelopet
2017-05-01,93634,93281,,nav.no/grunnbelopet
2018-05-01,96883,95800,,nav.no/grunnbelopet
2019-05-01,99858,98866,,nav.no/grunnbelopet
2020-05-01,101351,100853,Trygdeoppgjøret 2020 ble utsatt pga. korona; vedtatt høsten 2020 med tilbakevirkende kraft fra 1. mai - relevant for inntektsdata-timing i 2020,nav.no/grunnbelopet
2021-05-01,106399,104716,,nav.no/grunnbelopet
2022-05-01,111477,109784,,nav.no/grunnbelopet
2023-05-01,118620,116239,,nav.no/grunnbelopet
2024-05-01,124028,122225,,nav.no/grunnbelopet
2025-05-01,130160,128116,,nav.no/grunnbelopet
2026-05-01,136549,134419,,nav.no/grunnbelopet
