id,dato_virkning,termin_fra,termin_til,utbetaling_fra,utbetaling_til,hendelse,type,mekanisme,forventet_effekt_antall,forventet_effekt_belop,geografi,kilde,verifisering
I01,2020-04,2020-04,2020-10,2020-05,2020-11,Midlertidige koronatiltak i bostøtten,vindu,Midlertidige regler ga flere mottakere og høyere utbetalinger apr-okt 2020,opp,opp,nasjonal,Husbankens årsrapport 2021 s.26,bekreftet
I02,2021-03,2021-02,2021-02,2021-03,2021-03,Ekstra strømstøtte engangsutbetaling,belop,"2 950 kr per husstand + 120 kr per ekstra medlem, utbetalt med februar-terminen",ingen,opp,nasjonal,Husbankens årsrapport 2021 s.26,bekreftet
I03,2021-11,2021-10,2021-10,2021-11,2021-11,Ekstra strømstøtte engangsutbetaling Sør-Norge,belop,"2 950 kr + 120 kr per ekstra medlem; kun Oslo/Viken/Innlandet/Vestfold og Telemark/Agder/Rogaland/Vestland + Røros",ingen,opp,Sør-Norge inkl. Oslo,Husbankens årsrapport 2021 s.26,bekreftet
I04,2021-12,2021-11,2021-11,2021-12,2021-12,Ekstra strømstøtte desember 2021,belop,1 500 kr + 150 kr per ekstra medlem til alle med rett til bostøtte i november,ingen,opp,nasjonal,Husbankens årsrapport 2021 s.26,bekreftet
I05,2022-01,2021-12,2024-03,2022-01,2024-04,Midlertidig redusert egenandel (strømpakkevinduet),vindu,"Progressivt ledd i egenandelen 0,28 % -> 0,12 % fra utbetalingen jan 2022; økte inntektsgrenser; ~25 000 flere husstander nasjonalt; midlertidige egenandels- og formuesatser fra desembervedtaket 2021",opp,opp,nasjonal,Husbankens årsrapport 2023 vedlegg 1 + årsrapport 2024 s.45,bekreftet
I06,2022-01,2021-12,2022-11,2022-01,2022-12,Strømstøttebeløp per utbetalingsmåned 2022,belop,"jan 1500, feb 2500, mar 2500, apr 1000, mai 1000, jun 1000, jul-okt 0, nov 2000, des 2500; +150 kr per ekstra medlem",ingen,opp,nasjonal,Husbankens årsrapport 2022 tabell 3.11,bekreftet
I07,2023-01,2022-12,2023-11,2023-01,2023-12,Strømstøttebeløp per utbetalingsmåned 2023,belop,"jan-mai 1500, jun-okt 0, nov 1000, des 1500; +150 kr per ekstra medlem",ingen,opp,nasjonal,Husbankens årsrapport 2023 tabell 3.8,bekreftet
I08,2023-02,2023-01,,2023-02,,Barnetilleggssatser opp + kompenserende vekting,parameter,"Dagsats barnetillegg AAP/KVP/dagpenger 27/27/17 -> 35 kr; vekt husstandsmedlem under 18 år økt 0,13 -> 0,15 (forskrift § 7)",nøytral,nøytral,nasjonal,Husbankens årsrapport 2023 vedlegg 1,bekreftet
I09,2023-03,2023-02,,2023-03,,Minste pensjonsnivå enslige +4000 kr/år kompensert,parameter,Grensebeløp i egenandelen justert så økningen ikke reduserer bostøtte,nøytral,nøytral,nasjonal,Husbankens årsrapport 2023 vedlegg 1,bekreftet
I10,2023-06,2023-06,2023-06,2023-07,2023-07,Trygdeoppgjørskjerming juni 2023,kalender,Satsøkninger fra NAV/kommune i juni ikke medregnet i beregningsgrunnlaget for juni; gjaldt ~81 000 mottakere,ingen,opp,nasjonal,Husbankens årsrapport 2023 s.40,bekreftet
