ContentsCode_kode,år_kode,bosted_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,100000,0,0,BEF005,2017,Oslo i alt,Alder i alt,antall,663354
EliminatedValue,0,100000,1,0,BEF005,2017,Oslo i alt,0 år,antall,9670
EliminatedValue,0,100000,2,0,BEF005,2017,Oslo i alt,1-2 år,antall,17733
EliminatedValue,0,100000,3,0,BEF005,2017,Oslo i alt,3-5 år,antall,24017
EliminatedValue,0,100000,4,0,BEF005,2017,Oslo i alt,6-9 år,antall,29657
EliminatedValue,0,100000,5,0,BEF005,2017,Oslo i alt,10-12 år,antall,19801
EliminatedValue,0,100000,6,0,BEF005,2017,Oslo i alt,13-15 år,antall,17876
EliminatedValue,0,100000,7,0,BEF005,2017,Oslo i alt,16-17 år,antall,11971
EliminatedValue,0,100000,8,0,BEF005,2017,Oslo i alt,18-19 år,antall,12489
EliminatedValue,0,100000,9,0,BEF005,2017,Oslo i alt,20-22 år,antall,24893
EliminatedValue,0,100000,10,0,BEF005,2017,Oslo i alt,23-24 år,antall,20869
EliminatedValue,0,100000,11,0,BEF005,2017,Oslo i alt,25-29 år,antall,72274
EliminatedValue,0,100000,12,0,BEF005,2017,Oslo i alt,30-39 år,antall,124608
EliminatedValue,0,100000,13,0,BEF005,2017,Oslo i alt,40-49 år,antall,92995
EliminatedValue,0,100000,14,0,BEF005,2017,Oslo i alt,50-66 år,antall,113039
EliminatedValue,0,100000,15,0,BEF005,2017,Oslo i alt,67-74 år,antall,37490
EliminatedValue,0,100000,16,0,BEF005,2017,Oslo i alt,75-79 år,antall,13009
EliminatedValue,0,100000,17,0,BEF005,2017,Oslo i alt,80-84 år,antall,9151
EliminatedValue,0,100000,18,0,BEF005,2017,Oslo i alt,85-89 år,antall,6847
EliminatedValue,0,100000,19,0,BEF005,2017,Oslo i alt,90-94 år,antall,3699
EliminatedValue,0,100000,20,0,BEF005,2017,Oslo i alt,95+ år,antall,1266
EliminatedValue,0,1,0,0,BEF005,2017,Bydel Gamle Oslo,Alder i alt,antall,53249
EliminatedValue,0,1,1,0,BEF005,2017,Bydel Gamle Oslo,0 år,antall,974
EliminatedValue,0,1,2,0,BEF005,2017,Bydel Gamle Oslo,1-2 år,antall,1636
EliminatedValue,0,1,3,0,BEF005,2017,Bydel Gamle Oslo,3-5 år,antall,1942
EliminatedValue,0,1,4,0,BEF005,2017,Bydel Gamle Oslo,6-9 år,antall,1966
EliminatedValue,0,1,5,0,BEF005,2017,Bydel Gamle Oslo,10-12 år,antall,1128
EliminatedValue,0,1,6,0,BEF005,2017,Bydel Gamle Oslo,13-15 år,antall,897
EliminatedValue,0,1,7,0,BEF005,2017,Bydel Gamle Oslo,16-17 år,antall,623
EliminatedValue,0,1,8,0,BEF005,2017,Bydel Gamle Oslo,18-19 år,antall,717
EliminatedValue,0,1,9,0,BEF005,2017,Bydel Gamle Oslo,20-22 år,antall,1708
EliminatedValue,0,1,10,0,BEF005,2017,Bydel Gamle Oslo,23-24 år,antall,1893
EliminatedValue,0,1,11,0,BEF005,2017,Bydel Gamle Oslo,25-29 år,antall,7736
EliminatedValue,0,1,12,0,BEF005,2017,Bydel Gamle Oslo,30-39 år,antall,13950
EliminatedValue,0,1,13,0,BEF005,2017,Bydel Gamle Oslo,40-49 år,antall,7637
EliminatedValue,0,1,14,0,BEF005,2017,Bydel Gamle Oslo,50-66 år,antall,7404
EliminatedValue,0,1,15,0,BEF005,2017,Bydel Gamle Oslo,67-74 år,antall,1846
EliminatedValue,0,1,16,0,BEF005,2017,Bydel Gamle Oslo,75-79 år,antall,484
EliminatedValue,0,1,17,0,BEF005,2017,Bydel Gamle Oslo,80-84 år,antall,305
EliminatedValue,0,1,18,0,BEF005,2017,Bydel Gamle Oslo,85-89 år,antall,214
EliminatedValue,0,1,19,0,BEF005,2017,Bydel Gamle Oslo,90-94 år,antall,148
EliminatedValue,0,1,20,0,BEF005,2017,Bydel Gamle Oslo,95+ år,antall,41
EliminatedValue,0,2,0,0,BEF005,2017,Bydel Grünerløkka,Alder i alt,antall,57494
EliminatedValue,0,2,1,0,BEF005,2017,Bydel Grünerløkka,0 år,antall,1040
EliminatedValue,0,2,2,0,BEF005,2017,Bydel Grünerløkka,1-2 år,antall,1572
EliminatedValue,0,2,3,0,BEF005,2017,Bydel Grünerløkka,3-5 år,antall,1766
EliminatedValue,0,2,4,0,BEF005,2017,Bydel Grünerløkka,6-9 år,antall,1642
EliminatedValue,0,2,5,0,BEF005,2017,Bydel Grünerløkka,10-12 år,antall,929
EliminatedValue,0,2,6,0,BEF005,2017,Bydel Grünerløkka,13-15 år,antall,784
EliminatedValue,0,2,7,0,BEF005,2017,Bydel Grünerløkka,16-17 år,antall,506
EliminatedValue,0,2,8,0,BEF005,2017,Bydel Grünerløkka,18-19 år,antall,614
EliminatedValue,0,2,9,0,BEF005,2017,Bydel Grünerløkka,20-22 år,antall,2546
EliminatedValue,0,2,10,0,BEF005,2017,Bydel Grünerløkka,23-24 år,antall,2654
EliminatedValue,0,2,11,0,BEF005,2017,Bydel Grünerløkka,25-29 år,antall,10787
EliminatedValue,0,2,12,0,BEF005,2017,Bydel Grünerløkka,30-39 år,antall,15881
EliminatedValue,0,2,13,0,BEF005,2017,Bydel Grünerløkka,40-49 år,antall,7325
EliminatedValue,0,2,14,0,BEF005,2017,Bydel Grünerløkka,50-66 år,antall,6573
EliminatedValue,0,2,15,0,BEF005,2017,Bydel Grünerløkka,67-74 år,antall,1679
EliminatedValue,0,2,16,0,BEF005,2017,Bydel Grünerløkka,75-79 år,antall,487
EliminatedValue,0,2,17,0,BEF005,2017,Bydel Grünerløkka,80-84 år,antall,270
EliminatedValue,0,2,18,0,BEF005,2017,Bydel Grünerløkka,85-89 år,antall,223
EliminatedValue,0,2,19,0,BEF005,2017,Bydel Grünerløkka,90-94 år,antall,142
EliminatedValue,0,2,20,0,BEF005,2017,Bydel Grünerløkka,95+ år,antall,74
EliminatedValue,0,3,0,0,BEF005,2017,Bydel Sagene,Alder i alt,antall,42389
EliminatedValue,0,3,1,0,BEF005,2017,Bydel Sagene,0 år,antall,885
EliminatedValue,0,3,2,0,BEF005,2017,Bydel Sagene,1-2 år,antall,1337
