bydel_nr,bydel,husbanken_kommunenr,aar,framskrevet_folkemengde_mmm
1,Gamle Oslo,0311,2025,64734
1,Gamle Oslo,0311,2026,66080
1,Gamle Oslo,0311,2027,67082
1,Gamle Oslo,0311,2028,67730
1,Gamle Oslo,0311,2029,68367
1,Gamle Oslo,0311,2030,68794
1,Gamle Oslo,0311,2031,69220
1,Gamle Oslo,0311,2032,69468
1,Gamle Oslo,0311,2033,69655
1,Gamle Oslo,0311,2034,69841
1,Gamle Oslo,0311,2035,70126
1,Gamle Oslo,0311,2036,70472
1,Gamle Oslo,0311,2037,70888
1,Gamle Oslo,0311,2038,71266
1,Gamle Oslo,0311,2039,71577
1,Gamle Oslo,0311,2040,71727
1,Gamle Oslo,0311,2041,71854
1,Gamle Oslo,0311,2042,71905
1,Gamle Oslo,0311,2043,71910
1,Gamle Oslo,0311,2044,71839
1,Gamle Oslo,0311,2045,71742
1,Gamle Oslo,0311,2046,71600
1,Gamle Oslo,0311,2047,71390
1,Gamle Oslo,0311,2048,71139
1,Gamle Oslo,0311,2049,70834
1,Gamle Oslo,0311,2050,70478
2,Grünerløkka,0312,2025,66564
2,Grünerløkka,0312,2026,67607
2,Grünerløkka,0312,2027,68504
2,Grünerløkka,0312,2028,69048
2,Grünerløkka,0312,2029,69383
2,Grünerløkka,0312,2030,69657
2,Grünerløkka,0312,2031,70049
2,Grünerløkka,0312,2032,70464
2,Grünerløkka,0312,2033,70861
2,Grünerløkka,0312,2034,71164
2,Grünerløkka,0312,2035,71446
2,Grünerløkka,0312,2036,71725
2,Grünerløkka,0312,2037,71842
2,Grünerløkka,0312,2038,71986
2,Grünerløkka,0312,2039,72010
2,Grünerløkka,0312,2040,72108
2,Grünerløkka,0312,2041,72151
2,Grünerløkka,0312,2042,72092
2,Grünerløkka,0312,2043,71970
2,Grünerløkka,0312,2044,71796
2,Grünerløkka,0312,2045,71583
2,Grünerløkka,0312,2046,71336
2,Grünerløkka,0312,2047,71027
2,Grünerløkka,0312,2048,70671
2,Grünerløkka,0312,2049,70239
2,Grünerløkka,0312,2050,69770
3,Sagene,0313,2025,47921
3,Sagene,0313,2026,47870
3,Sagene,0313,2027,47983
3,Sagene,0313,2028,48097
3,Sagene,0313,2029,48163
3,Sagene,0313,2030,48117
3,Sagene,0313,2031,48027
3,Sagene,0313,2032,47913
3,Sagene,0313,2033,47773
3,Sagene,0313,2034,47658
3,Sagene,0313,2035,47556
3,Sagene,0313,2036,47468
3,Sagene,0313,2037,47384
3,Sagene,0313,2038,47289
3,Sagene,0313,2039,47179
3,Sagene,0313,2040,47047
3,Sagene,0313,2041,46899
3,Sagene,0313,2042,46730
3,Sagene,0313,2043,46538
3,Sagene,0313,2044,46316
3,Sagene,0313,2045,46065
3,Sagene,0313,2046,45791
3,Sagene,0313,2047,45486
3,Sagene,0313,2048,45154
3,Sagene,0313,2049,44793
3,Sagene,0313,2050,44411
4,St. Hanshaugen,0314,2025,39940
4,St. Hanshaugen,0314,2026,39821
4,St. Hanshaugen,0314,2027,39923
4,St. Hanshaugen,0314,2028,40022
4,St. Hanshaugen,0314,2029,40046
4,St. Hanshaugen,0314,2030,39850
4,St. Hanshaugen,0314,2031,39672
4,St. Hanshaugen,0314,2032,39542
4,St. Hanshaugen,0314,2033,39496
4,St. Hanshaugen,0314,2034,39554
4,St. Hanshaugen,0314,2035,39636
4,St. Hanshaugen,0314,2036,39703
4,St. Hanshaugen,0314,2037,39703
4,St. Hanshaugen,0314,2038,39681
4,St. Hanshaugen,0314,2039,39634
4,St. Hanshaugen,0314,2040,39589
4,St. Hanshaugen,0314,2041,39557
4,St. Hanshaugen,0314,2042,39490
4,St. Hanshaugen,0314,2043,39390
4,St. Hanshaugen,0314,2044,39290
4,St. Hanshaugen,0314,2045,39168
4,St. Hanshaugen,0314,2046,39035
4,St. Hanshaugen,0314,2047,38908
4,St. Hanshaugen,0314,2048,38790
4,St. Hanshaugen,0314,2049,38684
4,St. Hanshaugen,0314,2050,38593
5,Frogner,0315,2025,60693
5,Frogner,0315,2026,60445
5,Frogner,0315,2027,60510
5,Frogner,0315,2028,60677
5,Frogner,0315,2029,60790
5,Frogner,0315,2030,60555
5,Frogner,0315,2031,60326
5,Frogner,0315,2032,60175
5,Frogner,0315,2033,60179
5,Frogner,0315,2034,60394
5,Frogner,0315,2035,60746
5,Frogner,0315,2036,61062
5,Frogner,0315,2037,61361
5,Frogner,0315,2038,61617
5,Frogner,0315,2039,61871
5,Frogner,0315,2040,62161
5,Frogner,0315,2041,62290
5,Frogner,0315,2042,62478
5,Frogner,0315,2043,62617
5,Frogner,0315,2044,62705
5,Frogner,0315,2045,62776
5,Frogner,0315,2046,62956
5,Frogner,0315,2047,63067
5,Frogner,0315,2048,63137
5,Frogner,0315,2049,63155
5,Frogner,0315,2050,63141
6,Ullern,0316,2025,35768
6,Ullern,0316,2026,36005
6,Ullern,0316,2027,36146
6,Ullern,0316,2028,36416
6,Ullern,0316,2029,36672
6,Ullern,0316,2030,36950
6,Ullern,0316,2031,37232
6,Ullern,0316,2032,37859
6,Ullern,0316,2033,38626
6,Ullern,0316,2034,39311
6,Ullern,0316,2035,39946
6,Ullern,0316,2036,40612
6,Ullern,0316,2037,41163
6,Ullern,0316,2038,41687
6,Ullern,0316,2039,42106
6,Ullern,0316,2040,42634
6,Ullern,0316,2041,43237
6,Ullern,0316,2042,43922
6,Ullern,0316,2043,44678
6,Ullern,0316,2044,45470
6,Ullern,0316,2045,46233
6,Ullern,0316,2046,46954
6,Ullern,0316,2047,47601
6,Ullern,0316,2048,48182
6,Ullern,0316,2049,48676
6,Ullern,0316,2050,49092
7,Vestre Aker,0317,2025,52394
7,Vestre Aker,0317,2026,52587
7,Vestre Aker,0317,2027,52912
7,Vestre Aker,0317,2028,53378
7,Vestre Aker,0317,2029,53864
7,Vestre Aker,0317,2030,54315
7,Vestre Aker,0317,2031,54753
7,Vestre Aker,0317,2032,55137
7,Vestre Aker,0317,2033,55447
7,Vestre Aker,0317,2034,55763
7,Vestre Aker,0317,2035,56071
7,Vestre Aker,0317,2036,56368
7,Vestre Aker,0317,2037,56641
7,Vestre Aker,0317,2038,56891
7,Vestre Aker,0317,2039,57120
7,Vestre Aker,0317,2040,57367
7,Vestre Aker,0317,2041,57609
7,Vestre Aker,0317,2042,57865
7,Vestre Aker,0317,2043,58137
7,Vestre Aker,0317,2044,58416
7,Vestre Aker,0317,2045,58681
7,Vestre Aker,0317,2046,58933
7,Vestre Aker,0317,2047,59155
7,Vestre Aker,0317,2048,59320
7,Vestre Aker,0317,2049,59438
7,Vestre Aker,0317,2050,59519
8,Nordre Aker,0318,2025,55260
8,Nordre Aker,0318,2026,56131
8,Nordre Aker,0318,2027,56879
8,Nordre Aker,0318,2028,57357
8,Nordre Aker,0318,2029,57697
8,Nordre Aker,0318,2030,58027
8,Nordre Aker,0318,2031,58395
8,Nordre Aker,0318,2032,59062
8,Nordre Aker,0318,2033,59811
8,Nordre Aker,0318,2034,60500
8,Nordre Aker,0318,2035,61138
8,Nordre Aker,0318,2036,61747
8,Nordre Aker,0318,2037,62367
8,Nordre Aker,0318,2038,62956
8,Nordre Aker,0318,2039,63539
8,Nordre Aker,0318,2040,63911
8,Nordre Aker,0318,2041,64156
8,Nordre Aker,0318,2042,64301
8,Nordre Aker,0318,2043,64407
8,Nordre Aker,0318,2044,64453
8,Nordre Aker,0318,2045,64503
8,Nordre Aker,0318,2046,64552
8,Nordre Aker,0318,2047,64584
8,Nordre Aker,0318,2048,64582
8,Nordre Aker,0318,2049,64568
8,Nordre Aker,0318,2050,64537
9,Bjerke,0319,2025,37153
9,Bjerke,0319,2026,37550
9,Bjerke,0319,2027,37901
9,Bjerke,0319,2028,38302
9,Bjerke,0319,2029,39001
9,Bjerke,0319,2030,40561
9,Bjerke,0319,2031,42306
9,Bjerke,0319,2032,44001
9,Bjerke,0319,2033,45597
9,Bjerke,0319,2034,46824
9,Bjerke,0319,2035,47833
9,Bjerke,0319,2036,48781
9,Bjerke,0319,2037,49694
9,Bjerke,0319,2038,50562
9,Bjerke,0319,2039,51513
9,Bjerke,0319,2040,52184
9,Bjerke,0319,2041,52733
9,Bjerke,0319,2042,53120
9,Bjerke,0319,2043,53409
9,Bjerke,0319,2044,53641
9,Bjerke,0319,2045,53892
9,Bjerke,0319,2046,54140
9,Bjerke,0319,2047,54351
9,Bjerke,0319,2048,54531
9,Bjerke,0319,2049,54662
9,Bjerke,0319,2050,54751
10,Grorud,0320,2025,28328
10,Grorud,0320,2026,28356
10,Grorud,0320,2027,28470
10,Grorud,0320,2028,28683
10,Grorud,0320,2029,28928
10,Grorud,0320,2030,29045
10,Grorud,0320,2031,29127
10,Grorud,0320,2032,29190
10,Grorud,0320,2033,29251
10,Grorud,0320,2034,29346
10,Grorud,0320,2035,29452
10,Grorud,0320,2036,29558
10,Grorud,0320,2037,29652
10,Grorud,0320,2038,29743
10,Grorud,0320,2039,29830
10,Grorud,0320,2040,29991
10,Grorud,0320,2041,30207
10,Grorud,0320,2042,30459
10,Grorud,0320,2043,30732
10,Grorud,0320,2044,31025
10,Grorud,0320,2045,31304
10,Grorud,0320,2046,31569
10,Grorud,0320,2047,31800
10,Grorud,0320,2048,31997
10,Grorud,0320,2049,32152
10,Grorud,0320,2050,32265
11,Stovner,0321,2025,34697
11,Stovner,0321,2026,34779
11,Stovner,0321,2027,35086
11,Stovner,0321,2028,35556
11,Stovner,0321,2029,36221
11,Stovner,0321,2030,37090
11,Stovner,0321,2031,37766
11,Stovner,0321,2032,38066
11,Stovner,0321,2033,38208
11,Stovner,0321,2034,38597
11,Stovner,0321,2035,39030
11,Stovner,0321,2036,39398
11,Stovner,0321,2037,39679
11,Stovner,0321,2038,39946
11,Stovner,0321,2039,40202
11,Stovner,0321,2040,40467
11,Stovner,0321,2041,40724
11,Stovner,0321,2042,40906
11,Stovner,0321,2043,41025
11,Stovner,0321,2044,41157
11,Stovner,0321,2045,41293
11,Stovner,0321,2046,41435
11,Stovner,0321,2047,41705
11,Stovner,0321,2048,42085
11,Stovner,0321,2049,42618
11,Stovner,0321,2050,43282
12,Alna,0322,2025,50811
12,Alna,0322,2026,50844
12,Alna,0322,2027,51016
12,Alna,0322,2028,51281
12,Alna,0322,2029,51557
12,Alna,0322,2030,51626
12,Alna,0322,2031,51694
12,Alna,0322,2032,51766
12,Alna,0322,2033,51903
12,Alna,0322,2034,52136
12,Alna,0322,2035,52393
12,Alna,0322,2036,52647
12,Alna,0322,2037,52839
12,Alna,0322,2038,53020
12,Alna,0322,2039,53191
12,Alna,0322,2040,53537
12,Alna,0322,2041,54012
12,Alna,0322,2042,54573
12,Alna,0322,2043,55168
12,Alna,0322,2044,55815
12,Alna,0322,2045,56423
12,Alna,0322,2046,56996
12,Alna,0322,2047,57605
12,Alna,0322,2048,58246
12,Alna,0322,2049,58923
12,Alna,0322,2050,59622
13,Østensjø,0323,2025,52371
13,Østensjø,0323,2026,52695
13,Østensjø,0323,2027,53049
13,Østensjø,0323,2028,53403
