ContentsCode_kode,år_kode,geografi_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,301,0,0,0,ok-sos001,2012,Oslo i alt,Begge kjønn,Alder i alt,Antall mottakere av AAP,21087
EliminatedValue,0,301,0,1,0,ok-sos001,2012,Oslo i alt,Begge kjønn,Under 30,Antall mottakere av AAP,2901
EliminatedValue,0,301,0,2,0,ok-sos001,2012,Oslo i alt,Begge kjønn,30-39,Antall mottakere av AAP,4991
EliminatedValue,0,301,0,3,0,ok-sos001,2012,Oslo i alt,Begge kjønn,40-49,Antall mottakere av AAP,6158
EliminatedValue,0,301,0,4,0,ok-sos001,2012,Oslo i alt,Begge kjønn,50-59,Antall mottakere av AAP,5217
EliminatedValue,0,301,0,5,0,ok-sos001,2012,Oslo i alt,Begge kjønn,60+,Antall mottakere av AAP,1820
EliminatedValue,0,301,1,0,0,ok-sos001,2012,Oslo i alt,Menn,Alder i alt,Antall mottakere av AAP,9221
EliminatedValue,0,301,1,1,0,ok-sos001,2012,Oslo i alt,Menn,Under 30,Antall mottakere av AAP,1274
EliminatedValue,0,301,1,2,0,ok-sos001,2012,Oslo i alt,Menn,30-39,Antall mottakere av AAP,2166
EliminatedValue,0,301,1,3,0,ok-sos001,2012,Oslo i alt,Menn,40-49,Antall mottakere av AAP,2611
EliminatedValue,0,301,1,4,0,ok-sos001,2012,Oslo i alt,Menn,50-59,Antall mottakere av AAP,2290
EliminatedValue,0,301,1,5,0,ok-sos001,2012,Oslo i alt,Menn,60+,Antall mottakere av AAP,880
EliminatedValue,0,301,2,0,0,ok-sos001,2012,Oslo i alt,Kvinner,Alder i alt,Antall mottakere av AAP,11866
EliminatedValue,0,301,2,1,0,ok-sos001,2012,Oslo i alt,Kvinner,Under 30,Antall mottakere av AAP,1627
EliminatedValue,0,301,2,2,0,ok-sos001,2012,Oslo i alt,Kvinner,30-39,Antall mottakere av AAP,2825
EliminatedValue,0,301,2,3,0,ok-sos001,2012,Oslo i alt,Kvinner,40-49,Antall mottakere av AAP,3547
EliminatedValue,0,301,2,4,0,ok-sos001,2012,Oslo i alt,Kvinner,50-59,Antall mottakere av AAP,2927
EliminatedValue,0,301,2,5,0,ok-sos001,2012,Oslo i alt,Kvinner,60+,Antall mottakere av AAP,940
EliminatedValue,0,30101,0,0,0,ok-sos001,2012,Gamle Oslo,Begge kjønn,Alder i alt,Antall mottakere av AAP,2247
EliminatedValue,0,30101,0,1,0,ok-sos001,2012,Gamle Oslo,Begge kjønn,Under 30,Antall mottakere av AAP,325
EliminatedValue,0,30101,0,2,0,ok-sos001,2012,Gamle Oslo,Begge kjønn,30-39,Antall mottakere av AAP,625
EliminatedValue,0,30101,0,3,0,ok-sos001,2012,Gamle Oslo,Begge kjønn,40-49,Antall mottakere av AAP,651
EliminatedValue,0,30101,0,4,0,ok-sos001,2012,Gamle Oslo,Begge kjønn,50-59,Antall mottakere av AAP,507
EliminatedValue,0,30101,0,5,0,ok-sos001,2012,Gamle Oslo,Begge kjønn,60+,Antall mottakere av AAP,139
EliminatedValue,0,30101,1,0,0,ok-sos001,2012,Gamle Oslo,Menn,Alder i alt,Antall mottakere av AAP,1125
EliminatedValue,0,30101,1,1,0,ok-sos001,2012,Gamle Oslo,Menn,Under 30,Antall mottakere av AAP,139
EliminatedValue,0,30101,1,2,0,ok-sos001,2012,Gamle Oslo,Menn,30-39,Antall mottakere av AAP,309
EliminatedValue,0,30101,1,3,0,ok-sos001,2012,Gamle Oslo,Menn,40-49,Antall mottakere av AAP,334
EliminatedValue,0,30101,1,4,0,ok-sos001,2012,Gamle Oslo,Menn,50-59,Antall mottakere av AAP,269
EliminatedValue,0,30101,1,5,0,ok-sos001,2012,Gamle Oslo,Menn,60+,Antall mottakere av AAP,74
EliminatedValue,0,30101,2,0,0,ok-sos001,2012,Gamle Oslo,Kvinner,Alder i alt,Antall mottakere av AAP,1122
EliminatedValue,0,30101,2,1,0,ok-sos001,2012,Gamle Oslo,Kvinner,Under 30,Antall mottakere av AAP,186
EliminatedValue,0,30101,2,2,0,ok-sos001,2012,Gamle Oslo,Kvinner,30-39,Antall mottakere av AAP,316
EliminatedValue,0,30101,2,3,0,ok-sos001,2012,Gamle Oslo,Kvinner,40-49,Antall mottakere av AAP,317
EliminatedValue,0,30101,2,4,0,ok-sos001,2012,Gamle Oslo,Kvinner,50-59,Antall mottakere av AAP,238
EliminatedValue,0,30101,2,5,0,ok-sos001,2012,Gamle Oslo,Kvinner,60+,Antall mottakere av AAP,65
EliminatedValue,0,30102,0,0,0,ok-sos001,2012,Grünerløkka,Begge kjønn,Alder i alt,Antall mottakere av AAP,1821
EliminatedValue,0,30102,0,1,0,ok-sos001,2012,Grünerløkka,Begge kjønn,Under 30,Antall mottakere av AAP,299
EliminatedValue,0,30102,0,2,0,ok-sos001,2012,Grünerløkka,Begge kjønn,30-39,Antall mottakere av AAP,514
EliminatedValue,0,30102,0,3,0,ok-sos001,2012,Grünerløkka,Begge kjønn,40-49,Antall mottakere av AAP,492
EliminatedValue,0,30102,0,4,0,ok-sos001,2012,Grünerløkka,Begge kjønn,50-59,Antall mottakere av AAP,382
EliminatedValue,0,30102,0,5,0,ok-sos001,2012,Grünerløkka,Begge kjønn,60+,Antall mottakere av AAP,134
EliminatedValue,0,30102,1,0,0,ok-sos001,2012,Grünerløkka,Menn,Alder i alt,Antall mottakere av AAP,889
EliminatedValue,0,30102,1,1,0,ok-sos001,2012,Grünerløkka,Menn,Under 30,Antall mottakere av AAP,121
EliminatedValue,0,30102,1,2,0,ok-sos001,2012,Grünerløkka,Menn,30-39,Antall mottakere av AAP,236
EliminatedValue,0,30102,1,3,0,ok-sos001,2012,Grünerløkka,Menn,40-49,Antall mottakere av AAP,277
EliminatedValue,0,30102,1,4,0,ok-sos001,2012,Grünerløkka,Menn,50-59,Antall mottakere av AAP,177
EliminatedValue,0,30102,1,5,0,ok-sos001,2012,Grünerløkka,Menn,60+,Antall mottakere av AAP,78
EliminatedValue,0,30102,2,0,0,ok-sos001,2012,Grünerløkka,Kvinner,Alder i alt,Antall mottakere av AAP,932
EliminatedValue,0,30102,2,1,0,ok-sos001,2012,Grünerløkka,Kvinner,Under 30,Antall mottakere av AAP,178
EliminatedValue,0,30102,2,2,0,ok-sos001,2012,Grünerløkka,Kvinner,30-39,Antall mottakere av AAP,278
EliminatedValue,0,30102,2,3,0,ok-sos001,2012,Grünerløkka,Kvinner,40-49,Antall mottakere av AAP,215
EliminatedValue,0,30102,2,4,0,ok-sos001,2012,Grünerløkka,Kvinner,50-59,Antall mottakere av AAP,205
EliminatedValue,0,30102,2,5,0,ok-sos001,2012,Grünerløkka,Kvinner,60+,Antall mottakere av AAP,56
EliminatedValue,0,30103,0,0,0,ok-sos001,2012,Sagene,Begge kjønn,Alder i alt,Antall mottakere av AAP,1649
EliminatedValue,0,30103,0,1,0,ok-sos001,2012,Sagene,Begge kjønn,Under 30,Antall mottakere av AAP,277
EliminatedValue,0,30103,0,2,0,ok-sos001,2012,Sagene,Begge kjønn,30-39,Antall mottakere av AAP,449
EliminatedValue,0,30103,0,3,0,ok-sos001,2012,Sagene,Begge kjønn,40-49,Antall mottakere av AAP,452
EliminatedValue,0,30103,0,4,0,ok-sos001,2012,Sagene,Begge kjønn,50-59,Antall mottakere av AAP,373
EliminatedValue,0,30103,0,5,0,ok-sos001,2012,Sagene,Begge kjønn,60+,Antall mottakere av AAP,98
EliminatedValue,0,30103,1,0,0,ok-sos001,2012,Sagene,Menn,Alder i alt,Antall mottakere av AAP,808
EliminatedValue,0,30103,1,1,0,ok-sos001,2012,Sagene,Menn,Under 30,Antall mottakere av AAP,111
EliminatedValue,0,30103,1,2,0,ok-sos001,2012,Sagene,Menn,30-39,Antall mottakere av AAP,211
EliminatedValue,0,30103,1,3,0,ok-sos001,2012,Sagene,Menn,40-49,Antall mottakere av AAP,239
EliminatedValue,0,30103,1,4,0,ok-sos001,2012,Sagene,Menn,50-59,Antall mottakere av AAP,191
EliminatedValue,0,30103,1,5,0,ok-sos001,2012,Sagene,Menn,60+,Antall mottakere av AAP,56
EliminatedValue,0,30103,2,0,0,ok-sos001,2012,Sagene,Kvinner,Alder i alt,Antall mottakere av AAP,841
EliminatedValue,0,30103,2,1,0,ok-sos001,2012,Sagene,Kvinner,Under 30,Antall mottakere av AAP,166
EliminatedValue,0,30103,2,2,0,ok-sos001,2012,Sagene,Kvinner,30-39,Antall mottakere av AAP,238
EliminatedValue,0,30103,2,3,0,ok-sos001,2012,Sagene,Kvinner,40-49,Antall mottakere av AAP,213
EliminatedValue,0,30103,2,4,0,ok-sos001,2012,Sagene,Kvinner,50-59,Antall mottakere av AAP,182
EliminatedValue,0,30103,2,5,0,ok-sos001,2012,Sagene,Kvinner,60+,Antall mottakere av AAP,42
EliminatedValue,0,30104,0,0,0,ok-sos001,2012,St. Hanshaugen,Begge kjønn,Alder i alt,Antall mottakere av AAP,1078
EliminatedValue,0,30104,0,1,0,ok-sos001,2012,St. Hanshaugen,Begge kjønn,Under 30,Antall mottakere av AAP,276
EliminatedValue,0,30104,0,2,0,ok-sos001,2012,St. Hanshaugen,Begge kjønn,30-39,Antall mottakere av AAP,300
EliminatedValue,0,30104,0,3,0,ok-sos001,2012,St. Hanshaugen,Begge kjønn,40-49,Antall mottakere av AAP,258
EliminatedValue,0,30104,0,4,0,ok-sos001,2012,St. Hanshaugen,Begge kjønn,50-59,Antall mottakere av AAP,180
EliminatedValue,0,30104,0,5,0,ok-sos001,2012,St. Hanshaugen,Begge kjønn,60+,Antall mottakere av AAP,64
EliminatedValue,0,30104,1,0,0,ok-sos001,2012,St. Hanshaugen,Menn,Alder i alt,Antall mottakere av AAP,483
EliminatedValue,0,30104,1,1,0,ok-sos001,2012,St. Hanshaugen,Menn,Under 30,Antall mottakere av AAP,107
EliminatedValue,0,30104,1,2,0,ok-sos001,2012,St. Hanshaugen,Menn,30-39,Antall mottakere av AAP,148
EliminatedValue,0,30104,1,3,0,ok-sos001,2012,St. Hanshaugen,Menn,40-49,Antall mottakere av AAP,120
EliminatedValue,0,30104,1,4,0,ok-sos001,2012,St. Hanshaugen,Menn,50-59,Antall mottakere av AAP,74
EliminatedValue,0,30104,1,5,0,ok-sos001,2012,St. Hanshaugen,Menn,60+,Antall mottakere av AAP,34
EliminatedValue,0,30104,2,0,0,ok-sos001,2012,St. Hanshaugen,Kvinner,Alder i alt,Antall mottakere av AAP,595
EliminatedValue,0,30104,2,1,0,ok-sos001,2012,St. Hanshaugen,Kvinner,Under 30,Antall mottakere av AAP,169
EliminatedValue,0,30104,2,2,0,ok-sos001,2012,St. Hanshaugen,Kvinner,30-39,Antall mottakere av AAP,152
EliminatedValue,0,30104,2,3,0,ok-sos001,2012,St. Hanshaugen,Kvinner,40-49,Antall mottakere av AAP,138
EliminatedValue,0,30104,2,4,0,ok-sos001,2012,St. Hanshaugen,Kvinner,50-59,Antall mottakere av AAP,106
EliminatedValue,0,30104,2,5,0,ok-sos001,2012,St. Hanshaugen,Kvinner,60+,Antall mottakere av AAP,30
EliminatedValue,0,30105,0,0,0,ok-sos001,2012,Frogner,Begge kjønn,Alder i alt,Antall mottakere av AAP,1632
EliminatedValue,0,30105,0,1,0,ok-sos001,2012,Frogner,Begge kjønn,Under 30,Antall mottakere av AAP,275
EliminatedValue,0,30105,0,2,0,ok-sos001,2012,Frogner,Begge kjønn,30-39,Antall mottakere av AAP,388
EliminatedValue,0,30105,0,3,0,ok-sos001,2012,Frogner,Begge kjønn,40-49,Antall mottakere av AAP,408
EliminatedValue,0,30105,0,4,0,ok-sos001,2012,Frogner,Begge kjønn,50-59,Antall mottakere av AAP,371
EliminatedValue,0,30105,0,5,0,ok-sos001,2012,Frogner,Begge kjønn,60+,Antall mottakere av AAP,190
EliminatedValue,0,30105,1,0,0,ok-sos001,2012,Frogner,Menn,Alder i alt,Antall mottakere av AAP,696
EliminatedValue,0,30105,1,1,0,ok-sos001,2012,Frogner,Menn,Under 30,Antall mottakere av AAP,111
EliminatedValue,0,30105,1,2,0,ok-sos001,2012,Frogner,Menn,30-39,Antall mottakere av AAP,155
EliminatedValue,0,30105,1,3,0,ok-sos001,2012,Frogner,Menn,40-49,Antall mottakere av AAP,190
EliminatedValue,0,30105,1,4,0,ok-sos001,2012,Frogner,Menn,50-59,Antall mottakere av AAP,157
EliminatedValue,0,30105,1,5,0,ok-sos001,2012,Frogner,Menn,60+,Antall mottakere av AAP,83
EliminatedValue,0,30105,2,0,0,ok-sos001,2012,Frogner,Kvinner,Alder i alt,Antall mottakere av AAP,936
EliminatedValue,0,30105,2,1,0,ok-sos001,2012,Frogner,Kvinner,Under 30,Antall mottakere av AAP,164
EliminatedValue,0,30105,2,2,0,ok-sos001,2012,Frogner,Kvinner,30-39,Antall mottakere av AAP,233
EliminatedValue,0,30105,2,3,0,ok-sos001,2012,Frogner,Kvinner,40-49,Antall mottakere av AAP,218
EliminatedValue,0,30105,2,4,0,ok-sos001,2012,Frogner,Kvinner,50-59,Antall mottakere av AAP,214
EliminatedValue,0,30105,2,5,0,ok-sos001,2012,Frogner,Kvinner,60+,Antall mottakere av AAP,107
EliminatedValue,0,30106,0,0,0,ok-sos001,2012,Ullern,Begge kjønn,Alder i alt,Antall mottakere av AAP,681
EliminatedValue,0,30106,0,1,0,ok-sos001,2012,Ullern,Begge kjønn,Under 30,Antall mottakere av AAP,88
