ContentsCode_kode,år_kode,geografi_kode,alder_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,alder_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,0,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,I alt,Andel sosialhjelpsmottakere i befolkningen,3.8
EliminatedValue,0,0,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,I alt,Antall sosialhjelpsmottakere,17020
EliminatedValue,0,0,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,2.7
EliminatedValue,0,0,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,Under 20 år,Antall sosialhjelpsmottakere,303
EliminatedValue,0,0,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,20-24 år,Andel sosialhjelpsmottakere i befolkningen,4.8
EliminatedValue,0,0,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,20-24 år,Antall sosialhjelpsmottakere,1738
EliminatedValue,0,0,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,25-29 år,Andel sosialhjelpsmottakere i befolkningen,3.7
EliminatedValue,0,0,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,25-29 år,Antall sosialhjelpsmottakere,2106
EliminatedValue,0,0,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,30-39 år,Andel sosialhjelpsmottakere i befolkningen,4.5
EliminatedValue,0,0,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,30-39 år,Antall sosialhjelpsmottakere,4828
EliminatedValue,0,0,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,40-49 år,Andel sosialhjelpsmottakere i befolkningen,5.8
EliminatedValue,0,0,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,40-49 år,Antall sosialhjelpsmottakere,4486
EliminatedValue,0,0,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,50-66 år,Andel sosialhjelpsmottakere i befolkningen,3.3
EliminatedValue,0,0,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,50-66 år,Antall sosialhjelpsmottakere,3212
EliminatedValue,0,0,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.6
EliminatedValue,0,0,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Oslo i alt,67 år og over,Antall sosialhjelpsmottakere,347
EliminatedValue,0,1,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,I alt,Andel sosialhjelpsmottakere i befolkningen,4
EliminatedValue,0,1,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,I alt,Antall sosialhjelpsmottakere,18127
EliminatedValue,0,1,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,2.9
EliminatedValue,0,1,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,Under 20 år,Antall sosialhjelpsmottakere,323
EliminatedValue,0,1,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,20-24 år,Andel sosialhjelpsmottakere i befolkningen,5.2
EliminatedValue,0,1,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,20-24 år,Antall sosialhjelpsmottakere,1905
EliminatedValue,0,1,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,25-29 år,Andel sosialhjelpsmottakere i befolkningen,4
EliminatedValue,0,1,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,25-29 år,Antall sosialhjelpsmottakere,2280
EliminatedValue,0,1,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,30-39 år,Andel sosialhjelpsmottakere i befolkningen,4.8
EliminatedValue,0,1,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,30-39 år,Antall sosialhjelpsmottakere,5187
EliminatedValue,0,1,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,40-49 år,Andel sosialhjelpsmottakere i befolkningen,6.1
EliminatedValue,0,1,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,40-49 år,Antall sosialhjelpsmottakere,4740
EliminatedValue,0,1,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,50-66 år,Andel sosialhjelpsmottakere i befolkningen,3.4
EliminatedValue,0,1,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,50-66 år,Antall sosialhjelpsmottakere,3341
EliminatedValue,0,1,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.6
EliminatedValue,0,1,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Sum bydeler,67 år og over,Antall sosialhjelpsmottakere,351
EliminatedValue,0,2,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,I alt,Andel sosialhjelpsmottakere i befolkningen,7.7
EliminatedValue,0,2,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,I alt,Antall sosialhjelpsmottakere,2492
EliminatedValue,0,2,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,7.1
EliminatedValue,0,2,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,Under 20 år,Antall sosialhjelpsmottakere,40
EliminatedValue,0,2,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,20-24 år,Andel sosialhjelpsmottakere i befolkningen,7.8
EliminatedValue,0,2,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,20-24 år,Antall sosialhjelpsmottakere,213
EliminatedValue,0,2,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,25-29 år,Andel sosialhjelpsmottakere i befolkningen,5.2
EliminatedValue,0,2,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,25-29 år,Antall sosialhjelpsmottakere,323
EliminatedValue,0,2,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,30-39 år,Andel sosialhjelpsmottakere i befolkningen,6.9
EliminatedValue,0,2,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,30-39 år,Antall sosialhjelpsmottakere,734
EliminatedValue,0,2,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,40-49 år,Andel sosialhjelpsmottakere i befolkningen,13.3
EliminatedValue,0,2,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,40-49 år,Antall sosialhjelpsmottakere,670
EliminatedValue,0,2,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,50-66 år,Andel sosialhjelpsmottakere i befolkningen,8.9
EliminatedValue,0,2,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,50-66 år,Antall sosialhjelpsmottakere,461
EliminatedValue,0,2,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Gamle Oslo,67 år og over,Andel sosialhjelpsmottakere i befolkningen,2.3
