ContentsCode_kode,Tid_kode,ContentsCode_navn,Tid_navn,verdi
KpiIndMnd,1920M03,Konsumprisindeks,1920M03,3.7
KpiIndMnd,1920M04,Konsumprisindeks,1920M04,3.8
KpiIndMnd,1920M05,Konsumprisindeks,1920M05,3.8
KpiIndMnd,1920M06,Konsumprisindeks,1920M06,3.9
KpiIndMnd,1920M07,Konsumprisindeks,1920M07,4
KpiIndMnd,1920M08,Konsumprisindeks,1920M08,4.1
KpiIndMnd,1920M09,Konsumprisindeks,1920M09,4.2
KpiIndMnd,1920M10,Konsumprisindeks,1920M10,4.3
KpiIndMnd,1920M11,Konsumprisindeks,1920M11,4.3
KpiIndMnd,1920M12,Konsumprisindeks,1920M12,4.3
KpiIndMnd,1921M01,Konsumprisindeks,1921M01,4.2
KpiIndMnd,1921M02,Konsumprisindeks,1921M02,3.9
KpiIndMnd,1921M03,Konsumprisindeks,1921M03,3.8
KpiIndMnd,1921M04,Konsumprisindeks,1921M04,3.8
KpiIndMnd,1921M05,Konsumprisindeks,1921M05,3.7
KpiIndMnd,1921M06,Konsumprisindeks,1921M06,3.7
KpiIndMnd,1921M07,Konsumprisindeks,1921M07,3.7
KpiIndMnd,1921M08,Konsumprisindeks,1921M08,3.7
KpiIndMnd,1921M09,Konsumprisindeks,1921M09,3.6
KpiIndMnd,1921M10,Konsumprisindeks,1921M10,3.6
KpiIndMnd,1921M11,Konsumprisindeks,1921M11,3.6
KpiIndMnd,1921M12,Konsumprisindeks,1921M12,3.4
KpiIndMnd,1922M01,Konsumprisindeks,1922M01,3.4
KpiIndMnd,1922M02,Konsumprisindeks,1922M02,3.3
KpiIndMnd,1922M03,Konsumprisindeks,1922M03,3.2
KpiIndMnd,1922M04,Konsumprisindeks,1922M04,3.2
KpiIndMnd,1922M05,Konsumprisindeks,1922M05,3.1
KpiIndMnd,1922M06,Konsumprisindeks,1922M06,3.1
KpiIndMnd,1922M07,Konsumprisindeks,1922M07,3.1
KpiIndMnd,1922M08,Konsumprisindeks,1922M08,3.1
KpiIndMnd,1922M09,Konsumprisindeks,1922M09,3.1
KpiIndMnd,1922M10,Konsumprisindeks,1922M10,3
KpiIndMnd,1922M11,Konsumprisindeks,1922M11,3
KpiIndMnd,1922M12,Konsumprisindeks,1922M12,2.9
KpiIndMnd,1923M01,Konsumprisindeks,1923M01,2.9
KpiIndMnd,1923M02,Konsumprisindeks,1923M02,2.9
KpiIndMnd,1923M03,Konsumprisindeks,1923M03,2.9
KpiIndMnd,1923M04,Konsumprisindeks,1923M04,2.9
KpiIndMnd,1923M05,Konsumprisindeks,1923M05,2.9
KpiIndMnd,1923M06,Konsumprisindeks,1923M06,2.9
KpiIndMnd,1923M07,Konsumprisindeks,1923M07,2.9
KpiIndMnd,1923M08,Konsumprisindeks,1923M08,3
KpiIndMnd,1923M09,Konsumprisindeks,1923M09,2.9
KpiIndMnd,1923M10,Konsumprisindeks,1923M10,2.9
KpiIndMnd,1923M11,Konsumprisindeks,1923M11,3
KpiIndMnd,1923M12,Konsumprisindeks,1923M12,3
KpiIndMnd,1924M01,Konsumprisindeks,1924M01,3
KpiIndMnd,1924M02,Konsumprisindeks,1924M02,3.1
KpiIndMnd,1924M03,Konsumprisindeks,1924M03,3.1
KpiIndMnd,1924M04,Konsumprisindeks,1924M04,3.1
KpiIndMnd,1924M05,Konsumprisindeks,1924M05,3.1
KpiIndMnd,1924M06,Konsumprisindeks,1924M06,3.2
KpiIndMnd,1924M07,Konsumprisindeks,1924M07,3.2
KpiIndMnd,1924M08,Konsumprisindeks,1924M08,3.3
KpiIndMnd,1924M09,Konsumprisindeks,1924M09,3.3
KpiIndMnd,1924M10,Konsumprisindeks,1924M10,3.3
KpiIndMnd,1924M11,Konsumprisindeks,1924M11,3.4
KpiIndMnd,1924M12,Konsumprisindeks,1924M12,3.4
KpiIndMnd,1925M01,Konsumprisindeks,1925M01,3.4
KpiIndMnd,1925M02,Konsumprisindeks,1925M02,3.5
KpiIndMnd,1925M03,Konsumprisindeks,1925M03,3.5
KpiIndMnd,1925M04,Konsumprisindeks,1925M04,3.4
KpiIndMnd,1925M05,Konsumprisindeks,1925M05,3.4
KpiIndMnd,1925M06,Konsumprisindeks,1925M06,3.3
KpiIndMnd,1925M07,Konsumprisindeks,1925M07,3.3
KpiIndMnd,1925M08,Konsumprisindeks,1925M08,3.3
KpiIndMnd,1925M09,Konsumprisindeks,1925M09,3.2
