aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
2010,1,0,115197,121743,6546,0,,,,0,Norge
2010,2,115197,118332,124216,5884,251132499,2180.03,10764.67,5713.74,52757,Norge
2010,3,118332,120714,125841,5127,258154534,2181.61,10694.94,5763.06,54674,Norge
2010,4,120714,122698,127626,4928,263720357,2184.67,10631.62,5778.9,56264,Norge
2010,5,122698,124200,128872,4672,268498241,2188.29,10569.53,5788.24,57573,Norge
2010,6,124200,125129,129394,4265,272154893,2191.26,10520.48,5849.76,58665,Norge
2010,7,125129,116717,129914,13197,274494185,2193.69,10464.19,5856.62,59415,Norge
2010,8,116717,117972,122616,4644,248943561,2132.88,11342.25,5840.15,55880,Norge
2010,9,117972,119244,124800,5556,252174973,2137.58,11302.37,5746.12,57091,Norge
2010,10,119244,119434,126203,6769,255482802,2142.52,11252.33,5766.19,58339,Norge
2010,11,119434,121403,126527,5124,254759341,2133.06,11279.43,5771.41,58789,Norge
2010,12,121403,122772,127148,4376,259536680,2137.81,11215.52,5786.45,60105,Norge
2011,1,122772,121714,129587,7873,262928803,2141.6,11160.13,5800.73,61186,Norge
2011,2,121714,124793,131374,6581,260832485,2142.99,11135.82,5816.96,61512,Norge
2011,3,124793,126388,131958,5570,267764298,2145.67,11080.6,5833.73,63498,Norge
2011,4,126388,127911,133388,5477,272079688,2152.73,11028.79,5855.55,64958,Norge
2011,5,127911,128912,133208,4296,275797147,2156.16,10983.18,5867.89,66114,Norge
2011,6,128912,129506,133820,4314,278533591,2160.65,10931.86,5878.34,67069,Norge
2011,7,129506,118701,134685,15984,280676367,2167.28,10893.09,5896.85,67885,Norge
2011,8,118701,119714,124837,5123,250964681,2114.26,11580.67,5939.33,61121,Norge
2011,9,119714,120737,126513,5776,253479641,2117.38,11561.45,5959.11,62241,Norge
2011,10,120737,120721,127166,6445,256341471,2123.14,11540.01,5981.74,63244,Norge
2011,11,120721,122134,127168,5034,256395833,2123.87,11532.81,5991.25,63636,Norge
2011,12,122134,123385,127721,4336,260323844,2131.46,11478.27,6020.34,64824,Norge
2012,1,123385,121690,128729,7039,263802092,2138.04,11429.34,6039.72,66049,Norge
2012,2,121690,122907,127962,5055,260155933,2137.86,11439.37,6050.7,65957,Norge
