brukergruppe,aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
Eldre,2010,1,0,2118,2118,0,0,,,,0,Oslo
Eldre,2010,2,2118,2181,2181,0,4761161,2247.95,11891.45,9067.76,648,Oslo
Eldre,2010,3,2181,2207,2207,0,4928626,2259.8,11862.46,9013.35,685,Oslo
Eldre,2010,4,2207,2244,2244,0,5007315,2268.83,11834.73,8996.4,703,Oslo
Eldre,2010,5,2244,2254,2289,35,5113171,2278.6,11799.25,8965.43,724,Oslo
Eldre,2010,6,2254,2258,2295,37,5132694,2277.15,11800.86,8976.37,739,Oslo
Eldre,2010,7,2258,2142,2274,132,5138298,2275.6,11762.38,8965.72,738,Oslo
Eldre,2010,8,2142,2163,2191,28,4770926,2227.32,12625.53,9163.29,709,Oslo
Eldre,2010,9,2163,2178,2222,44,4841730,2238.43,12603.96,5920.36,728,Oslo
Eldre,2010,10,2178,2164,2216,52,4898236,2248.96,12586.9,5957.5,747,Oslo
Eldre,2010,11,2164,2173,2214,41,4867140,2249.14,12598.73,5969.77,757,Oslo
Eldre,2010,12,2173,2172,2208,36,4895672,2252.96,12585.79,5987.11,764,Oslo
Eldre,2011,1,2172,2176,2224,48,4903288,2257.5,12582.32,6010.24,768,Oslo
Eldre,2011,2,2176,2198,2283,85,4929045,2265.19,12531.52,6082.01,779,Oslo
Eldre,2011,3,2198,2199,2267,68,5001385,2275.43,12525.63,6125.29,816,Oslo
Eldre,2011,4,2199,2197,2238,41,5008363,2277.56,12525.96,6139.44,826,Oslo
Eldre,2011,5,2197,2202,2246,44,5028524,2288.81,12497.26,6168.31,839,Oslo
Eldre,2011,6,2202,2201,2233,32,5061208,2298.46,12459.65,6151.28,857,Oslo
Eldre,2011,7,2201,2060,2251,191,5070161,2303.57,12432.1,6173.45,865,Oslo
Eldre,2011,8,2060,2060,2097,37,4657041,2260.7,13068.38,6266.32,786,Oslo
Eldre,2011,9,2060,2055,2104,49,4683622,2273.6,13057.32,6303.28,803,Oslo
Eldre,2011,10,2055,2029,2092,63,4691386,2282.91,13025.4,6322.6,811,Oslo
Eldre,2011,11,2029,2040,2076,36,4655296,2294.38,13036.43,6350.14,810,Oslo
Eldre,2011,12,2040,2040,2072,32,4723884,2315.63,12998.23,6386.78,821,Oslo
Eldre,2012,1,2040,2035,2076,41,4739250,2323.16,12963.15,6413.83,833,Oslo
Eldre,2012,2,2035,2048,2081,33,4740307,2329.39,12939.12,6442.24,844,Oslo
Eldre,2012,3,2048,2046,2085,39,4787267,2337.53,12899.6,6456.93,860,Oslo
Eldre,2012,4,2046,2042,2089,47,4815780,2353.75,12873.91,6495.35,877,Oslo
Eldre,2012,5,2042,2054,2100,46,4825022,2362.89,12838.75,6512.64,888,Oslo
Eldre,2012,6,2054,2061,2104,43,4883583,2377.6,12794.17,6549.55,908,Oslo
Eldre,2012,7,2061,1897,2107,210,4935124,2394.53,12757.62,6589.11,927,Oslo
Eldre,2012,8,1897,1907,1947,40,4414324,2327.0,13387.03,6719.99,884,Oslo
Eldre,2012,9,1907,1914,1962,48,4453573,2335.38,13362.68,6731.31,895,Oslo
Eldre,2012,10,1914,1909,1955,46,4482301,2341.85,13327.82,6761.9,903,Oslo
Eldre,2012,11,1909,1907,1941,34,4491416,2352.76,13345.87,6800.35,918,Oslo
Eldre,2012,12,1907,1910,1938,28,4499228,2359.32,13327.67,6843.05,933,Oslo
Eldre,2013,1,1910,1899,1942,43,4528599,2370.99,13313.63,6887.73,953,Oslo
Eldre,2013,2,1899,1877,1952,75,4515096,2377.62,13279.15,6910.57,954,Oslo
Eldre,2013,3,1877,1901,1940,39,4474440,2383.83,13307.98,6983.45,966,Oslo
Eldre,2013,4,1901,1911,1952,41,4557407,2397.37,13276.93,7011.92,988,Oslo
Eldre,2013,5,1911,1926,1970,44,4609585,2412.13,13231.59,7032.09,1003,Oslo
Eldre,2013,6,1926,1921,1966,45,4664277,2421.74,13210.58,7055.38,1019,Oslo
Eldre,2013,7,1921,1729,1965,236,4664261,2428.04,13184.12,7092.42,1031,Oslo
Eldre,2013,8,1729,1729,1781,52,4118933,2382.26,13721.18,7311.88,986,Oslo
Eldre,2013,9,1729,1746,1782,36,4122077,2384.08,13738.89,7349.35,1002,Oslo
Eldre,2013,10,1746,1738,1782,44,4152773,2378.45,13723.39,7375.79,1017,Oslo
Eldre,2013,11,1738,1758,1786,28,4157563,2392.15,13676.1,7396.72,1023,Oslo
Eldre,2013,12,1758,1768,1799,31,4212085,2395.95,13663.76,7436.83,1044,Oslo
Eldre,2014,1,1768,1759,1811,52,4267990,2414.02,13593.23,7465.8,1063,Oslo
Eldre,2014,2,1759,1778,1815,37,4343580,2469.35,13545.67,7507.87,1051,Oslo
Eldre,2014,3,1778,1782,1807,25,4420110,2486.0,13510.38,7542.26,1075,Oslo
Eldre,2014,4,1782,1785,1825,40,4443973,2493.81,13509.88,7551.88,1077,Oslo
Eldre,2014,5,1785,1797,1826,29,4473649,2506.25,13454.25,7553.67,1086,Oslo
Eldre,2014,6,1797,1797,1835,38,4512684,2511.23,13440.39,7591.92,1104,Oslo
Eldre,2014,7,1797,1635,1842,207,4521419,2516.09,13378.1,7597.52,1111,Oslo
Eldre,2014,8,1635,1625,1681,56,3940943,2410.36,13833.53,7773.86,1065,Oslo
