kommunenr,bydel,aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak
0301,Oslo,2014,8,0,1,1,0,0,,,,0
0301,Oslo,2014,9,1,0,0,0,4474,4474,0,15000,1
0301,Oslo,2014,10,0,0,1,1,0,,,,0
0301,Oslo,2015,9,0,1,1,0,0,,,,0
0301,Oslo,2015,10,1,1,1,0,4090,4090,14554.67,14000,1
0301,Oslo,2015,11,1,1,1,0,4090,4090,14554.67,14000,1
0301,Oslo,2015,12,1,1,1,0,4090,4090,14554.67,14000,1
0301,Oslo,2016,1,1,2,2,0,4090,4090,14554.67,14000,1
0301,Oslo,2016,2,2,3,3,0,7263,3631.5,14548.92,12500,2
0301,Oslo,2016,3,3,2,2,0,8347,2782.33,15455.28,11000,3
0301,Oslo,2016,4,2,0,0,0,7263,3631.5,14548.92,12500,2
0301,Oslo,2017,1,0,1,1,0,0,,,,0
0301,Oslo,2017,2,1,1,1,0,3182,3182,21966,15500,1
0301,Oslo,2017,3,1,0,1,1,2513,2513,23351,15500,1
0301,Oslo,2017,4,0,0,1,1,0,,,,0
0301,Oslo,2017,5,0,1,1,0,0,,,,0
0301,Oslo,2017,6,1,0,1,1,3841,3841,20506,15500,1
0301,Oslo,2017,7,0,1,1,0,0,,,,0
0301,Oslo,2017,8,1,1,1,0,5629,5629,2011,15500,1
0301,Oslo,2017,9,1,2,2,0,5629,5629,0,15500,1
0301,Oslo,2017,10,2,1,1,0,11184,5592,10950,16250,2
0301,Oslo,2017,11,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2017,12,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,1,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,2,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,3,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,4,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,5,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,6,1,1,1,0,5629,5629,0,15500,1
0301,Oslo,2018,7,1,1,1,0,3420,3420,22772,15500,1
0301,Oslo,2018,8,1,1,2,1,5730,5730,0,15500,1
0301,Oslo,2018,9,1,0,2,2,5730,5730,0,15500,1
0301,Oslo,2024,7,0,0,1,1,0,,,,0
0301,Oslo,2024,9,0,0,1,1,0,,,,0
0301,Oslo,2025,6,0,1,2,1,0,,,,0
0301,Oslo,2025,7,1,1,1,0,4029,4029,4606,7613,0
0301,Oslo,2025,8,1,0,0,0,4029,4029,0,7613,0
0311,Gamle Oslo,2010,1,0,2153,2288,135,0,,,,0
0311,Gamle Oslo,2010,2,2153,2240,2306,66,7275167,3379.08,9099.06,10936.92,1316
