aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
2010,1,0,16238,17195,957,0,,,,0,Oslo
2010,2,16238,16744,17494,750,50701694,3122.41,9710.81,7616.13,8503,Oslo
2010,3,16744,17152,17780,628,52257485,3120.97,9674.48,7638.6,8906,Oslo
2010,4,17152,17453,18079,626,53579892,3123.83,9625.62,7665.48,9248,Oslo
2010,5,17453,17726,18345,619,54613226,3129.16,9563.65,7670.48,9499,Oslo
2010,6,17726,17904,18524,620,55499133,3130.95,9534.73,7690.91,9733,Oslo
2010,7,17904,17076,18658,1582,56065222,3131.44,9498.71,7693.62,9881,Oslo
2010,8,17076,17338,17964,626,52770140,3090.31,10134.13,7723.76,9483,Oslo
2010,9,17338,17533,18316,783,53613263,3092.24,10117.34,7343.07,9752,Oslo
2010,10,17533,17429,18524,1095,54180233,3090.19,10104.78,7364.87,9943,Oslo
2010,11,17429,17755,18466,711,53595101,3075.05,10217.69,7378.34,9948,Oslo
2010,12,17755,17960,18573,613,54611773,3075.85,10213.21,7407.59,10250,Oslo
2011,1,17960,17802,18888,1086,55298760,3079.0,10175.36,7431.59,10467,Oslo
2011,2,17802,18251,19044,793,54797200,3078.15,10181.51,7458.2,10457,Oslo
2011,3,18251,18546,19287,741,56228178,3080.83,10159.81,7487.25,10856,Oslo
2011,4,18546,18732,19516,784,57173325,3082.78,10133.45,7509.9,11130,Oslo
2011,5,18732,18884,19499,615,57800189,3085.64,10115.83,7536.67,11334,Oslo
2011,6,18884,18988,19596,608,58301679,3087.36,10100.84,7547.81,11487,Oslo
2011,7,18988,17934,19792,1858,58648890,3088.73,10086.51,7583.05,11626,Oslo
2011,8,17934,18048,18789,741,56072210,3126.59,10651.94,7639.72,10341,Oslo
2011,9,18048,18234,19021,787,56497037,3130.38,10647.46,7676.8,10535,Oslo
2011,10,18234,18129,19161,1032,57113790,3132.27,10661.9,7708.95,10758,Oslo
2011,11,18129,18345,19004,659,56871552,3137.05,10670.33,7732.47,10803,Oslo
2011,12,18345,18499,19113,614,57668193,3143.54,10662.17,7766.58,11038,Oslo
2012,1,18499,18314,19306,992,58270268,3149.91,10643.98,7797.65,11248,Oslo
2012,2,18314,18542,19211,669,57533047,3141.48,10688.97,7825.61,11235,Oslo
2012,3,18542,18754,19491,737,58409865,3150.14,10645.85,7855.87,11487,Oslo
2012,4,18754,18921,19520,599,59232709,3158.4,10622.07,7895.32,11749,Oslo
2012,5,18921,18952,19682,730,59897912,3165.68,10586.7,7928.97,11947,Oslo
2012,6,18952,19157,19724,567,60130581,3172.78,10563.02,7958.16,12062,Oslo
2012,7,19157,17678,19811,2133,60905042,3179.26,10523.63,7986.07,12270,Oslo
2012,8,17678,17785,18587,802,54565285,3086.62,11138.3,8562.88,11495,Oslo
2012,9,17785,17865,18711,846,55025352,3093.92,11130.92,8604.42,11698,Oslo
2012,10,17865,17945,18747,802,55352799,3098.39,11129.29,8638.02,11865,Oslo
2012,11,17945,18112,18870,758,55587495,3097.66,11154.35,8667.89,11994,Oslo
2012,12,18112,18283,18917,634,56218731,3103.95,11121.19,8188.74,12237,Oslo
2013,1,18283,18020,18966,946,56853802,3109.65,11090.04,8224.51,12449,Oslo
2013,2,18020,17384,19045,1661,56165829,3116.86,11055.7,8260.11,12363,Oslo
2013,3,17384,17820,18512,692,54403640,3129.52,11074.51,8313.57,12052,Oslo
2013,4,17820,18179,18786,607,55964387,3140.54,10985.0,8353.74,12442,Oslo
2013,5,18179,18431,19055,624,57239903,3148.68,10909.57,8348.71,12758,Oslo
2013,6,18431,18552,19158,606,58131796,3154.02,10847.58,8377.8,13014,Oslo
2013,7,18552,17374,19260,1886,58590610,3158.18,10837.54,8409.26,13191,Oslo
2013,8,17374,17255,18265,1010,53331740,3069.63,11347.18,8497.78,12625,Oslo
2013,9,17255,17459,18300,841,52952732,3068.83,11351.25,8533.13,12648,Oslo
2013,10,17459,17519,18370,851,53565566,3068.08,11339.14,8562.51,12865,Oslo
2013,11,17519,17865,18547,682,53795047,3070.67,11306.01,8597.01,12980,Oslo
2013,12,17865,18016,18669,653,55028114,3080.22,11256.7,8636.74,13341,Oslo
2014,1,18016,17737,18832,1095,55682201,3090.71,11191.32,8666.19,13537,Oslo
2014,2,17737,18073,18817,744,56300663,3174.19,11261.57,8692.64,13154,Oslo
2014,3,18073,18374,19058,684,57514285,3182.33,11219.47,8730.61,13499,Oslo
2014,4,18374,18553,19304,751,58555107,3186.85,11173.25,8768.45,13803,Oslo
2014,5,18553,18761,19409,648,59306366,3196.59,11110.16,8797.04,13994,Oslo
2014,6,18761,18918,19641,723,60125188,3204.8,11061.78,8826.74,14212,Oslo
2014,7,18918,17667,19640,1973,60735391,3210.46,10993.48,8848.37,14393,Oslo
2014,8,17667,17608,18617,1009,55324827,3131.53,11357.39,8919.78,13656,Oslo
2014,9,17608,17750,18582,832,55224323,3136.32,11337.75,8954.03,13689,Oslo
2014,10,17750,17951,18819,868,55748941,3140.79,11300.35,8992.81,13869,Oslo
2014,11,17951,18238,18971,733,56404519,3142.14,11278.11,9027.33,14066,Oslo
2014,12,18238,18343,19030,687,57428905,3148.86,11195.97,9053.76,14356,Oslo
2015,1,18343,17623,19151,1528,57942402,3158.83,11118.58,9087.73,14499,Oslo
2015,2,17623,18011,18767,756,56576093,3210.36,11203.51,9133.85,13529,Oslo
2015,3,18011,18276,19053,777,58087545,3225.11,11112.03,9166.53,13889,Oslo
2015,4,18276,18446,19143,697,59144643,3236.19,11036.95,9201.0,14146,Oslo
2015,5,18446,18599,19250,651,59876227,3246.03,10966.44,9230.06,14329,Oslo
2015,6,18599,18691,19416,725,60502792,3253.01,10920.09,9250.69,14503,Oslo
2015,7,18691,17413,19391,1978,60899614,3258.23,10862.27,9267.92,14595,Oslo
2015,8,17413,17640,18302,662,55639011,3195.26,11080.58,9339.84,13812,Oslo
2015,9,17640,17519,18555,1036,56570265,3206.93,11038.59,9375.19,14065,Oslo
2015,10,17519,17685,18501,816,56131861,3204.06,11001.6,9395.68,14044,Oslo
2015,11,17685,17896,18570,674,56720054,3207.24,11003.04,9416.46,14215,Oslo
2015,12,17896,18059,18708,649,57629765,3220.26,10898.01,9433.23,14416,Oslo
2016,1,18059,17609,18895,1286,58250271,3225.55,10878.86,9461.85,14590,Oslo
2016,2,17609,17996,18709,713,58832384,3341.04,10981.12,9476.23,14035,Oslo
2016,3,17996,18289,18963,674,60319785,3351.84,10922.47,9507.19,14412,Oslo
2016,4,18289,18542,19226,684,61488703,3362.06,10880.66,9536.14,14682,Oslo
2016,5,18542,18671,19318,647,62497929,3370.61,10812.3,9562.85,14929,Oslo
2016,6,18671,18807,19510,703,63298319,3390.19,10733.4,9625.65,15171,Oslo
2016,7,18807,17367,19581,2214,63858937,3395.49,10674.86,9639.01,15286,Oslo
2016,8,17367,17635,18400,765,57809926,3328.72,10846.07,9675.33,14223,Oslo
2016,9,17635,17712,18683,971,58974600,3344.18,10782.24,9717.14,14492,Oslo
2016,10,17712,17848,18666,818,59241970,3344.74,10769.43,9754.64,14599,Oslo
2016,11,17848,18083,18738,655,59728912,3346.53,10774.99,9784.63,14749,Oslo
2016,12,18083,18276,18950,674,60670027,3355.09,10687.92,9796.81,14972,Oslo
2017,1,18276,15117,19383,4266,61602044,3370.65,10583.64,9813.67,15157,Oslo
2017,2,15117,16425,20012,3587,51484703,3405.75,10442.61,9861.39,12614,Oslo
2017,3,16425,16464,20516,4052,56046371,3412.26,10613.82,9844.4,13660,Oslo
2017,4,16464,16778,19319,2541,55996494,3401.15,10655.7,9869.96,13707,Oslo
2017,5,16778,15467,19237,3770,57173619,3407.65,10604.22,9881.27,13960,Oslo
2017,6,15467,16128,19147,3019,52677540,3405.8,10410.14,9948.74,12925,Oslo
2017,7,16128,15964,19062,3098,56309468,3491.41,10743.66,9910.13,13298,Oslo
2017,8,15964,16374,19153,2779,56144833,3516.97,10425.3,9977.59,13216,Oslo
2017,9,16374,16647,19276,2629,58054747,3545.54,10419.43,10012.18,13578,Oslo
2017,10,16647,15826,19403,3577,58658975,3523.7,10590.55,10031.32,13860,Oslo
2017,11,15826,16615,19399,2784,55424010,3502.09,10578.4,10099.18,13259,Oslo
2017,12,16615,16814,19283,2469,58209822,3503.45,10695.66,10072.82,13893,Oslo
2018,1,16814,16064,19548,3484,58753738,3494.33,10743.8,10089.78,14093,Oslo
2018,2,16064,17178,19629,2451,56014135,3486.94,10460.72,10148.63,13521,Oslo
2018,3,17178,17198,19895,2697,60068204,3496.81,10720.62,10132.65,14430,Oslo
2018,4,17198,16424,19911,3487,60183405,3499.44,10651.42,10156.15,14483,Oslo
2018,5,16424,16868,19885,3017,57377425,3493.51,10502.46,10218.17,13912,Oslo
2018,6,16868,15991,19751,3760,58811663,3486.58,10622.29,10205.57,14283,Oslo
2018,7,15991,15765,19633,3868,55675717,3481.69,10820.54,10243.96,13413,Oslo
2018,8,15765,16374,19610,3236,56189119,3564.17,10381.37,10308.6,13237,Oslo
2018,9,16374,16586,19284,2698,58550428,3575.82,10469.33,10302.95,13768,Oslo
2018,10,16586,15528,19798,4270,59085186,3562.35,10573.49,10318.32,13960,Oslo
2018,11,15528,16366,19447,3081,55246399,3557.86,10476.34,10387.29,13116,Oslo
2018,12,16366,15613,19238,3625,58004229,3544.19,10676.75,10358.04,13803,Oslo
2019,1,15613,16414,19391,2977,55343292,3544.69,10504.92,10412.73,13224,Oslo
2019,2,16414,16519,19359,2840,59537179,3627.22,10512.63,10459.93,13896,Oslo
2019,3,16519,16625,19245,2620,60080847,3637.08,10692.85,10481.59,14013,Oslo
2019,4,16625,15527,19159,3632,60368961,3631.22,10688.72,10495.54,14096,Oslo
2019,5,15527,15988,19063,3075,56484498,3637.82,10468.98,10554.21,13219,Oslo
2019,6,15988,15480,18856,3376,57647832,3605.69,10698.6,10520.58,13596,Oslo
2019,7,15480,15340,18658,3318,55805424,3605.0,11010.36,10547.15,12920,Oslo
2019,8,15340,15941,18630,2689,59239456,3861.76,10663.47,10635.98,12602,Oslo
2019,9,15941,15211,18688,3477,61881871,3881.93,10741.53,10626.01,13084,Oslo
2019,10,15211,15700,18612,2912,58845727,3868.63,10808.83,10706.15,12546,Oslo
2019,11,15700,15877,18582,2705,60425694,3848.77,11015.81,10686.06,12931,Oslo
2019,12,15877,14989,18368,3379,61103261,3848.54,11089.32,10680.18,13075,Oslo
2020,1,14989,15810,18488,2678,57503173,3836.36,10960.8,10732.92,12376,Oslo
2020,2,15810,16009,18581,2572,60696008,3839.09,11048.19,10743.07,13069,Oslo
2020,3,16009,15384,18928,3544,61804833,3860.63,11079.01,10771.13,13262,Oslo
2020,4,15384,17099,19331,2232,59411814,3861.92,11004.11,10831.54,12768,Oslo
2020,5,17099,17037,19814,2777,77086086,4508.22,11483.73,10841.63,11696,Oslo
2020,6,17037,16333,20033,3700,76024313,4462.31,11550.83,10883.36,11787,Oslo
2020,7,16333,17544,20108,2564,73643098,4508.85,11979.0,10868.95,10758,Oslo
2020,8,17544,17152,20180,3028,79609234,4537.69,11922.56,10894.49,11559,Oslo
2020,9,17152,17765,20115,2350,76640773,4468.33,12130.97,10940.14,11397,Oslo
2020,10,17765,17878,20258,2380,80056827,4506.44,12008.31,10942.47,11832,Oslo
2020,11,17878,16057,20351,4294,80162972,4483.89,12167.89,10951.48,11955,Oslo
2020,12,16057,16666,20179,3513,62967912,3921.52,11197.0,10960.98,13368,Oslo
2021,1,16666,17295,20922,3627,65326483,3919.75,11372.14,10938.94,13887,Oslo
2021,2,17295,17433,20066,2633,64845313,3749.37,12039.48,10952.91,14473,Oslo
2021,3,17433,16144,20351,4207,65651085,3765.91,12067.23,10961.64,14593,Oslo
2021,4,16144,17300,20131,2831,60157046,3726.28,12100.09,11026.94,13549,Oslo
2021,5,17300,15445,19816,4371,64607201,3734.52,12288.89,10994.66,14540,Oslo
2021,6,15445,14484,19354,4870,55836240,3615.17,12316.87,11086.65,13135,Oslo
2021,7,14484,15635,18934,3299,55175902,3809.44,12537.0,11072.12,11709,Oslo
2021,8,15635,14515,18654,4139,60435313,3865.39,12557.6,11089.23,12640,Oslo
2021,9,14515,15133,17978,2845,56049865,3861.51,12375.5,11141.18,11775,Oslo
2021,10,15133,15115,18028,2913,58352595,3855.98,12625.91,11111.19,12293,Oslo
2021,11,15115,14028,17884,3856,58249303,3853.74,12635.59,11140.15,12313,Oslo
2021,12,14028,16219,18930,2711,53786691,3834.24,12590.93,11223.18,11524,Oslo
2022,1,16219,16913,20020,3107,62750627,3868.96,14199.28,11229.05,13363,Oslo
2022,2,16913,17758,20627,2869,65833082,3892.45,14790.61,11300.97,13740,Oslo
2022,3,17758,17676,21037,3361,70234655,3955.1,14675.55,11298.04,14394,Oslo
2022,4,17676,17863,21471,3608,69121471,3910.47,15024.49,11374.57,14479,Oslo
2022,5,17863,17250,20858,3608,70437391,3943.2,14857.7,11406.24,14708,Oslo
2022,6,17250,16443,20921,4478,65774859,3813.04,15171.82,11452.66,14339,Oslo
2022,7,16443,17818,20565,2747,61931785,3766.45,16046.24,11423.19,13517,Oslo
2022,8,17818,17413,20811,3398,69326179,3890.79,15480.79,11475.13,14639,Oslo
2022,9,17413,17822,21088,3266,66249060,3804.57,15695.33,11555.22,14472,Oslo
2022,10,17822,17767,21279,3512,68876921,3864.71,15693.6,11579.05,14740,Oslo
2022,11,17767,18436,21949,3513,66761811,3757.63,16225.5,11619.3,14821,Oslo
2022,12,18436,18529,22532,4003,69995316,3796.67,16225.39,11691.74,15416,Oslo
2023,1,18529,18596,22784,4188,69786986,3766.37,16399.49,11731.83,15545,Oslo
2023,2,18596,19607,23078,3471,68306444,3673.18,16660.41,11833.73,15777,Oslo
2023,3,19607,19813,23145,3332,74060195,3777.23,16609.17,11879.19,16603,Oslo
2023,4,19813,20016,23324,3308,74410171,3755.62,16784.91,11930.73,16869,Oslo
2023,5,20016,18833,23198,4365,75323772,3763.18,16777.11,11969.64,17072,Oslo
2023,6,18833,18899,23089,4190,68487187,3636.55,17149.09,12015.33,16242,Oslo
2023,7,18899,19088,23077,3989,74311859,3932.05,16502.66,12062.92,15786,Oslo
2023,8,19088,19737,22616,2879,70305038,3683.21,17911.53,12161.88,16030,Oslo
2023,9,19737,19591,22681,3090,74541704,3776.75,17564.6,12211.08,16588,Oslo
2023,10,19591,19032,22719,3687,73815647,3767.83,17691.14,12267.0,16510,Oslo
2023,11,19032,19809,22877,3068,69505688,3652.04,18174.91,12324.87,16147,Oslo
2023,12,19809,19985,22899,2914,74109362,3741.2,17936.07,12389.58,16788,Oslo
2024,1,19985,19704,23368,3664,74796539,3742.63,17921.67,12450.33,16988,Oslo
2024,2,19704,20634,23288,2654,71917830,3649.91,18103.71,12497.58,16838,Oslo
2024,3,20634,20849,23544,2695,77552916,3758.5,17823.61,12530.2,17582,Oslo
2024,4,20849,15588,23457,7869,78543373,3767.25,17785.08,12614.87,17809,Oslo
2024,5,15588,16353,23287,6934,62141786,3986.51,14929.17,12727.87,13292,Oslo
2024,6,16353,16375,23610,7235,65294206,3992.8,14970.38,12720.63,13926,Oslo
2024,7,16375,18061,23807,5746,70653349,4314.71,14525.03,12825.73,13641,Oslo
2024,8,18061,18114,21184,3070,74851273,4144.36,16782.87,12900.2,14665,Oslo
2024,9,18114,16982,21823,4841,75543833,4170.47,16682.62,12954.09,14815,Oslo
2024,10,16982,18103,22290,4187,70447223,4148.35,16735.71,13264.2,14207,Oslo
2024,11,18103,18210,21411,3201,75612760,4176.81,16971.44,13337.33,15183,Oslo
2024,12,18210,17187,21129,3942,75995309,4173.27,17018.17,13390.78,15341,Oslo
2025,1,17187,18493,21376,2883,71267130,4146.57,17070.78,13486.33,14531,Oslo
2025,2,18493,18614,21260,2646,77545972,4193.26,16934.89,13515.64,15701,Oslo
2025,3,18614,18708,21385,2677,77974114,4189.0,17034.99,13596.73,15860,Oslo
2025,4,18708,18565,21376,2811,78381822,4189.75,17056.25,13658.6,15989,Oslo
2025,5,18565,18130,21192,3062,77928841,4197.62,17031.33,13720.71,15942,Oslo
2025,6,18130,16590,21141,4551,75789949,4180.36,17014.33,13739.56,15563,Oslo
2025,7,16590,16993,20952,3959,78024328,4703.09,15691.2,13852.21,13657,Oslo
2025,8,16993,17131,20875,3744,77413212,4555.59,16895.35,13950.34,14087,Oslo
2025,9,17131,17060,20116,3056,78426113,4578.02,16756.94,14020.23,14247,Oslo
2025,10,17060,16992,20078,3086,77686636,4553.73,17018.58,14074.69,14238,Oslo
2025,11,16992,17115,20201,3086,77314513,4550.05,17091.91,14130.98,14234,Oslo
2025,12,17115,17021,19933,2912,77574489,4532.54,17211.01,14202.99,14373,Oslo
2026,1,17021,17223,20082,2859,77376374,4545.94,17189.47,14270.24,14353,Oslo
2026,2,17223,17336,20087,2751,78618296,4564.73,17020.35,14364.42,14565,Oslo
2026,3,17336,17405,20189,2784,79149951,4565.64,17010.09,14427.96,14699,Oslo
2026,4,17405,17403,20167,2764,79285443,4555.33,17091.56,14476.01,14782,Oslo
2026,5,17403,17075,20569,3494,79323720,4558.05,17065.38,14544.18,14831,Oslo
